Name,Team,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Darren Dreifort","LAD",13,13,4.785448081551174,30,29,11,1,1,0,,,178.2,773,177,105,95,20,76,2,7,9,4,140,"Darren Dreifort",647,113554
"Robert Person","- - -",10,7,4.682432462604835,42,22,11,0,0,2,,,148,659,139,84,77,24,85,2,6,5,1,139,"Robert Person",966,120447
"Kris Benson","PIT",11,14,4.072881250597905,31,31,16,2,0,0,,,196.2,840,184,105,89,16,83,5,6,2,1,139,"Kris Benson",982,150249
"Tom Glavine","ATL",14,11,4.115384615384615,35,35,19,2,0,0,,,234,1023,259,115,107,18,83,14,4,2,0,138,"Tom Glavine",90,114849
"Jamie Moyer","SEA",14,8,3.8684210526315788,32,32,21,4,0,0,,,228,945,235,108,98,23,48,1,9,3,0,137,"Jamie Moyer",1091,119469
"Woody Williams","SDP",12,12,4.40639978484376,33,33,19,0,0,0,,,208.1,887,213,106,102,33,73,5,2,9,0,137,"Woody Williams",1190,124315
"Greg Maddux","ATL",19,9,3.5699088973746003,33,33,19,4,0,0,,,219.1,940,258,103,87,16,37,8,4,1,0,136,"Greg Maddux",104,118120
"Matt Clement","SDP",10,12,4.483395086388118,31,31,16,0,0,0,,,180.2,803,190,106,90,18,86,2,9,11,0,135,"Matt Clement",271,136725
"Hideki Irabu","NYY",11,7,4.836614618140161,32,27,14,2,1,0,,,169.1,733,180,98,91,26,46,0,6,7,0,133,"Hideki Irabu",1255,116400
"Andy Ashby","SDP",14,10,3.8009705922417063,31,31,17,4,3,0,,,206,862,204,95,87,26,54,4,7,6,0,132,"Andy Ashby",637,110351
"Tim Hudson","OAK",11,2,3.2347185850469997,21,21,13,1,0,0,,,136.1,580,121,56,49,8,62,2,4,6,0,132,"Tim Hudson",921,218596
"Brett Tomko","CIN",5,7,4.918604542075656,33,26,12,1,0,0,,,172,744,175,103,94,31,60,10,4,8,0,132,"Brett Tomko",1056,123387
"Kevin Appier","- - -",16,14,5.167463548928926,34,34,18,1,0,0,,,209,926,230,131,120,27,84,4,7,10,1,131,"Kevin Appier",3,110293
"Rick Helling","TEX",13,11,4.8419454010368135,35,35,15,3,0,0,,,219.1,943,228,127,118,41,85,5,6,8,0,131,"Rick Helling",58,115727
"Kelvim Escobar","TOR",14,11,5.689654673464135,33,30,9,1,0,0,,,174,795,203,118,110,19,81,2,10,6,1,129,"Kelvim Escobar",1298,113898
"Armando Benitez","NYM",4,3,1.846154026731249,77,0,0,0,0,22,,,78,312,40,17,16,4,41,4,0,2,0,128,"Armando Benitez",865,110859
"Wilson Alvarez","TBD",9,9,4.218749597668686,28,28,15,1,0,0,,,160,703,159,92,75,22,79,1,6,3,0,128,"Wilson Alvarez",1193,110209
"Charles Nagy","CLE",17,11,4.945544180876161,33,32,16,1,0,0,,,202,887,238,120,111,26,59,4,6,3,0,126,"Charles Nagy",397,119640
"Ryan Dempster","FLA",7,8,4.7142862036346855,25,25,12,0,0,0,,,147,666,146,77,77,21,93,2,6,8,0,126,"Ryan Dempster",517,133225
"Kenny Rogers","- - -",10,4,4.192832709916766,31,31,16,5,1,0,,,195.1,845,206,101,91,16,69,1,13,4,1,126,"Kenny Rogers",1277,121386
"Mike Sirotka","CHW",11,13,4.004784396611673,32,32,19,3,1,0,,,209,909,236,108,93,24,57,2,3,4,0,125,"Mike Sirotka",1012015,122276
"Billy Wagner","HOU",4,1,1.5669646593077733,66,0,0,0,0,39,,,74.2,286,35,14,13,5,23,1,1,2,0,124,"Billy Wagner",578,123790
"Kent Bottenfield","STL",18,7,3.9719790903810703,31,31,16,0,0,0,,,190.1,843,197,91,84,21,89,5,5,1,0,124,"Kent Bottenfield",1001226,111264
"Keith Foulke","CHW",3,3,2.2215189337061885,67,0,0,0,0,9,,,105.1,411,72,28,26,11,21,4,3,1,0,123,"Keith Foulke",231,114342
"James Baldwin","CHW",12,13,5.1020064774131,35,33,16,1,0,0,,,199.1,886,219,119,113,34,81,1,7,11,1,123,"James Baldwin",1064,110503
"Bobby Witt","TBD",7,15,5.839186361926385,32,32,13,3,2,0,,,180.1,815,213,130,117,23,96,1,3,9,1,123,"Bobby Witt",1014170,124492
"Scott Elarton","HOU",9,5,3.4838707533885125,42,15,8,0,0,1,,,124,524,111,55,48,8,43,0,4,3,0,121,"Scott Elarton",426,134003
"Brad Radke","MIN",12,14,3.745426742148359,33,33,21,4,0,0,,,218.2,910,239,97,91,28,44,0,1,4,0,121,"Brad Radke",748,120878
"Andy Pettitte","NYY",14,11,4.69565242313033,31,31,15,0,0,0,,,191.2,851,216,105,100,20,89,3,3,3,1,121,"Andy Pettitte",840,120485
"Dave Mlicki","- - -",14,13,4.613065282418473,33,31,16,2,0,0,,,199,883,219,112,102,25,72,1,12,1,0,120,"Dave Mlicki",569,119211
"Brian Bohanon","COL",12,12,6.2027028625772545,33,33,12,3,1,0,,,197.1,903,236,146,136,30,92,1,14,6,0,120,"Brian Bohanon",1001126,111155
"Pete Harnisch","CIN",16,10,3.6756300635776005,33,33,16,2,2,0,,,198.1,833,190,86,81,25,57,2,5,3,0,120,"Pete Harnisch",1005374,115487
"Darren Oliver","STL",9,9,4.263157673851872,30,30,16,2,1,0,,,196.1,842,197,96,93,16,74,4,11,6,2,119,"Darren Oliver",206,119984
"Steve Woodard","MIL",11,8,4.524324091095584,31,29,17,2,0,0,,,185,801,219,101,93,23,36,7,6,4,1,119,"Steve Woodard",1285,124548
"Pat Hentgen","TOR",11,12,4.793969849246231,34,34,16,1,0,0,,,199,869,225,115,106,32,65,1,3,8,1,118,"Pat Hentgen",145,115797
"Gil Heredia","OAK",13,8,4.806988474790055,33,33,19,1,0,0,,,200.1,852,228,119,107,22,34,4,8,2,1,117,"Gil Heredia",1005686,115804
"Randy Wolf","PHI",6,9,5.547945669342097,22,21,9,0,0,0,,,121.2,552,126,78,75,20,67,0,5,4,0,116,"Randy Wolf",976,150116
"Darryl Kile","COL",8,13,6.608390903244456,32,32,12,1,0,0,,,190.2,888,225,150,140,33,109,5,6,13,1,116,"Darryl Kile",1163,117046
"Joe Mays","MIN",6,11,4.368421247534557,49,20,10,2,1,0,,,171,746,179,92,83,24,67,2,2,6,0,115,"Joe Mays",740,150222
"Chris Holt","HOU",5,13,4.664633766587928,32,26,15,0,0,1,,,164,720,193,92,85,12,57,1,8,5,0,115,"Chris Holt",1005983,116108
"Jeff Fassero","- - -",5,14,7.196162807815296,37,27,9,0,0,0,,,156.1,751,208,135,125,35,83,3,4,9,0,114,"Jeff Fassero",279,114032
"Jeff Weaver","DET",9,12,5.5539713141611475,30,29,13,0,0,0,,,163.2,717,176,104,101,27,56,2,17,0,0,114,"Jeff Weaver",503,213711
"Jose Jimenez","STL",5,14,5.852760736196319,29,28,13,2,2,0,,,163,727,173,114,106,16,71,2,11,10,1,113,"Jose Jimenez",435,150455
"Javier Vazquez","MON",9,8,5.004310673964315,26,26,10,3,1,0,,,154.2,667,154,98,86,20,52,4,4,2,0,113,"Javier Vazquez",801,134320
"Sidney Ponson","BAL",12,12,4.714285714285714,32,32,19,6,0,0,,,210,897,227,118,110,35,80,2,1,4,0,112,"Sidney Ponson",161,132260
"Jim Parque","CHW",9,15,5.130518083905003,31,30,10,1,0,0,,,173.2,804,210,111,99,23,79,2,10,3,2,111,"Jim Parque",250,133220
"Rolando Arrojo","TBD",7,12,5.182464829754207,24,24,10,2,0,0,,,140.2,630,162,84,81,23,60,2,14,2,0,107,"Rolando Arrojo",174,134361
"Todd Ritchie","PIT",15,9,3.492278279999422,28,26,16,2,0,0,,,172.2,716,169,79,67,17,54,3,4,7,0,107,"Todd Ritchie",253,121234
"Scott Williamson","CIN",12,7,2.4107146141480875,62,0,0,0,0,19,,,93.1,366,54,29,25,8,43,6,1,13,0,107,"Scott Williamson",361,150182
"Scott Erickson","BAL",15,12,4.806077935354763,34,34,16,6,3,0,,,230.1,995,244,127,123,27,99,4,11,10,0,106,"Scott Erickson",137,113884
"Brian Moehler","DET",10,16,5.042444952362655,32,32,16,2,2,0,,,196.1,859,229,116,110,22,59,5,7,4,0,106,"Brian Moehler",480,119215
"Paul Byrd","PHI",15,11,4.597662302806282,32,32,19,1,0,0,,,199.2,872,205,119,102,34,70,2,17,11,3,106,"Paul Byrd",594,111838
"Chris Carpenter","TOR",9,8,4.38,24,24,14,4,1,0,,,150,663,177,81,73,16,48,1,3,9,1,106,"Chris Carpenter",1292,112020
"Masato Yoshii","NYM",12,8,4.396551724137931,31,29,20,1,0,0,,,174,723,168,86,85,25,58,3,6,1,0,105,"Masato Yoshii",807,134180
"John Halama","SEA",11,10,4.2234637771577415,38,24,13,1,1,0,,,179,763,193,88,84,20,56,3,7,4,0,105,"John Halama",1080,134280
"Tim Wakefield","BOS",6,11,5.078571705331623,49,17,6,0,0,15,,,140,635,146,93,79,19,72,2,5,1,0,104,"Tim Wakefield",219,123801
"Rick Reed","NYM",11,5,4.580356830845095,26,26,13,1,1,0,,,149.1,637,163,77,76,23,47,2,1,1,0,104,"Rick Reed",750,120999
"John Rocker","ATL",4,5,2.488479962602596,74,0,0,0,0,38,,,72.1,301,47,24,20,5,37,4,1,7,0,104,"John Rocker",1273,132340
"Paul Shuey","CLE",8,5,3.5265320398732873,72,0,0,0,0,6,,,81.2,351,68,37,32,8,40,7,1,8,0,103,"Paul Shuey",406,122201
"Jeff Suppan","KCR",10,12,4.528754214387557,32,32,17,4,1,0,,,208.2,887,222,113,105,28,62,4,3,5,1,103,"Jeff Suppan",633,122987
"LaTroy Hawkins","MIN",10,14,6.659656608935338,33,33,9,1,0,0,,,174.1,803,238,136,129,29,60,2,1,9,0,103,"LaTroy Hawkins",729,115629
"Jay Witasick","KCR",9,12,5.570526964469837,32,28,12,1,1,0,,,158.1,732,191,108,98,23,83,1,8,5,2,102,"Jay Witasick",1138,124482
"Ugueth Urbina","MON",6,6,3.687225537088495,71,0,0,0,0,41,,,75.2,323,59,35,31,6,36,6,0,5,0,100,"Ugueth Urbina",216,123584
"Matt Mantei","- - -",1,3,2.7551023357364666,65,0,0,0,0,32,,,65.1,284,44,21,20,5,44,1,5,2,0,99,"Matt Mantei",64,118256
"Francisco Cordova","PIT",8,10,4.425311063226373,27,27,13,2,0,0,,,160.2,682,166,83,79,16,59,6,4,5,0,98,"Francisco Cordova",1002623,112681
"Ron Villone","CIN",9,7,4.226635702375416,29,22,9,0,0,2,,,142.2,610,114,70,67,8,73,2,5,6,0,97,"Ron Villone",1010,123725
"Ryan Rupe","TBD",8,9,4.552693371120815,24,24,14,0,0,0,,,142.1,614,136,81,72,17,57,2,12,4,1,97,"Ryan Rupe",1223,150142
"John Burkett","TEX",9,8,5.619909114239784,30,25,9,0,0,0,,,147.1,656,184,95,92,18,46,1,3,4,0,96,"John Burkett",179,111734
"Miguel Batista","MON",8,7,4.878713101618979,39,17,9,2,1,1,,,134.2,606,146,88,73,10,58,2,7,6,0,95,"Miguel Batista",46,110683
"Kirk Rueter","SFG",15,10,5.409747590419485,33,33,17,1,0,0,,,184.2,804,219,118,111,28,55,2,2,2,0,94,"Kirk Rueter",1128,121541
"Pete Schourek","PIT",4,7,5.33628282555215,30,17,5,0,0,0,,,113,511,128,75,67,20,49,5,5,0,0,94,"Pete Schourek",1011608,121860
"Jimmy Haynes","OAK",7,12,6.33802753051964,30,25,11,0,0,0,,,142,652,158,112,100,21,80,3,2,7,2,93,"Jimmy Haynes",329,115649
"Jaret Wright","CLE",8,10,6.059850143476371,26,26,8,0,0,0,,,133.2,609,144,99,90,18,77,1,7,4,0,91,"Jaret Wright",415,124605
"Alex Fernandez","FLA",7,8,3.3829790895047114,24,24,10,1,0,0,,,141,590,135,60,53,10,41,1,4,2,0,91,"Alex Fernandez",1003993,114073
"Pat Rapp","BOS",6,7,4.120729341167089,37,26,12,0,0,0,,,146.1,638,147,78,67,13,69,1,7,5,0,90,"Pat Rapp",1010700,120933
"Orel Hershiser","NYM",13,12,4.575418994413408,32,32,14,0,0,0,,,179,776,175,92,91,14,77,2,11,6,0,89,"Orel Hershiser",1005741,115861
"Mike Oquist","OAK",9,10,5.374407461482598,28,24,8,0,0,0,,,140.2,629,158,86,84,18,64,5,2,2,0,89,"Mike Oquist",1009828,120039
"Scott Sanders","CHC",4,7,5.520767143227809,66,6,1,0,0,2,,,104.1,469,112,69,64,19,53,8,0,5,1,89,"Scott Sanders",1011423,121676
"Rick Croushore","STL",3,7,4.144186634746695,59,0,0,0,0,3,,,71.2,329,68,42,33,9,43,4,3,9,0,88,"Rick Croushore",1002819,131701
"Dwight Gooden","CLE",3,4,6.2608694613768625,26,22,5,0,0,0,,,115,532,127,90,80,18,67,3,9,4,0,88,"Dwight Gooden",1004852,114947
"Vladimir Nunez","- - -",7,10,4.058282232333004,44,12,4,0,0,1,,,108.2,463,95,63,49,11,54,6,4,8,1,86,"Vladimir Nunez",532,136727
"Steve Parris","CIN",11,4,3.497409142805642,22,21,11,2,1,0,,,128.2,545,124,59,50,16,52,4,6,3,0,86,"Steve Parris",1316,120247
"Mark Gardner","SFG",5,11,6.474820588120151,29,21,5,1,0,0,,,139,613,142,103,100,27,57,2,8,3,1,86,"Mark Gardner",1004529,114610
"Octavio Dotel","NYM",8,3,5.378906931291653,19,14,7,0,0,0,,,85.1,368,69,52,51,12,49,1,6,3,2,85,"Octavio Dotel",555,136734
"Mike Thurman","MON",7,11,4.050000280900455,29,27,12,0,0,0,,,146.2,627,140,84,66,17,52,4,7,4,1,85,"Mike Thurman",852,123327
"Omar Olivares","- - -",15,11,4.157212523286966,32,32,16,4,0,0,,,205.2,885,217,105,95,19,81,0,9,6,0,85,"Omar Olivares",1009771,119982
"Terry Mulholland","- - -",10,8,4.385518918384091,42,24,16,0,0,1,,,170.1,736,201,95,83,21,45,6,1,3,0,83,"Terry Mulholland",665,119488
"Dennis Springer","FLA",6,16,4.8590838841944795,38,29,13,3,2,1,,,196.1,855,231,121,106,23,64,4,7,2,0,83,"Dennis Springer",672,122618
"Justin Thompson","DET",9,11,5.1098123554247765,24,24,13,0,0,0,,,142.2,626,152,85,81,24,59,1,4,2,0,83,"Justin Thompson",8217,123294
"Odalis Perez","ATL",4,6,5.999999507781038,18,17,5,0,0,0,,,93,424,100,65,62,12,53,2,1,5,3,82,"Odalis Perez",668,136602
"Mike Trombley","MIN",2,8,4.328245661224548,75,0,0,0,0,24,,,87.1,377,93,42,42,15,28,2,2,6,0,82,"Mike Trombley",758,123472
"Roy Halladay","TOR",8,7,3.917410247294022,36,18,11,1,1,1,,,149.1,668,156,76,65,19,79,1,4,6,0,82,"Roy Halladay",1303,136880
"Willie Blair","DET",3,11,6.850746658709322,39,16,3,0,0,0,,,134,604,169,107,102,29,44,0,4,5,0,82,"Willie Blair",1001033,111060
"Mike Remlinger","ATL",10,1,2.3665341522744656,73,0,0,0,0,1,,,83.2,346,66,24,22,9,35,5,1,5,0,81,"Mike Remlinger",111,121060
"Kent Mercker","- - -",8,5,4.801545943282939,30,23,9,0,0,0,,,129.1,589,148,85,69,16,64,3,3,3,1,81,"Kent Mercker",439,118967
"Rick White","TBD",5,3,4.083334135604651,63,1,0,0,0,0,,,108,480,132,56,49,8,38,5,1,3,0,81,"Rick White",456,124184
"Bret Saberhagen","BOS",10,6,2.9495800210378964,22,22,10,0,0,0,,,119,480,122,43,39,11,11,0,2,1,0,81,"Bret Saberhagen",1011355,121604
"Derek Lowe","BOS",6,3,2.6341468316328154,74,0,0,0,0,15,,,109.1,436,84,35,32,7,25,1,4,1,0,80,"Derek Lowe",199,117955
"Bob Howry","CHW",5,3,3.591133544791618,69,0,0,0,0,28,,,67.2,298,58,34,27,8,38,3,3,3,1,80,"Bob Howry",237,133982
"Ramiro Mendoza","NYY",9,9,4.293800362484652,53,6,3,0,0,3,,,123.2,536,141,68,59,13,27,3,3,2,0,80,"Ramiro Mendoza",836,118947
"Armando Reynoso","ARI",10,6,4.365269573255716,31,27,15,0,0,0,,,167,730,178,90,81,20,67,7,6,7,1,79,"Armando Reynoso",72,121117
"Bobby Ayala","- - -",1,7,3.5121953261884435,66,0,0,0,0,0,,,82,365,71,43,32,10,39,2,6,5,0,79,"Bobby Ayala",1000384,110402
"Mark Portugal","BOS",7,12,5.507760596206993,31,27,11,1,0,0,,,150.1,667,179,100,92,28,41,1,4,2,0,79,"Mark Portugal",1010460,120690
"Scott Sullivan","CIN",5,4,3.008797923229401,79,0,0,0,0,3,,,113.2,470,88,41,38,10,47,4,8,6,1,78,"Scott Sullivan",357,122975
"Doug Brocail","DET",4,4,2.524390478775255,70,0,0,0,0,2,,,82,326,60,23,23,7,25,1,4,4,1,78,"Doug Brocail",551,111492
"Jose Silva","PIT",2,8,5.732877236590198,34,12,1,0,0,4,,,97.1,433,108,70,62,10,39,0,3,4,3,77,"Jose Silva",354,122231
"Curt Leskanic","COL",6,2,5.0823538535360635,63,0,0,0,0,0,,,85,382,87,54,48,7,49,4,5,5,0,77,"Curt Leskanic",694,117710
"Turk Wendell","NYM",5,4,3.0466929687847886,80,0,0,0,0,3,,,85.2,369,80,31,29,9,37,8,2,2,1,77,"Turk Wendell",975,124084
"Robb Nen","SFG",3,8,3.981567520206209,72,0,0,0,0,37,,,72.1,320,79,36,32,8,27,3,0,5,0,77,"Robb Nen",1123,119718
"Jay Powell","HOU",5,4,4.32000043945317,67,0,0,0,0,4,,,75,341,82,38,36,3,40,4,3,5,0,77,"Jay Powell",1271,120717
"Esteban Loaiza","TEX",9,5,4.562327207277783,30,15,10,0,0,0,,,120.1,517,128,65,61,10,40,2,0,2,0,77,"Esteban Loaiza",1310,117842
"Chad Ogea","PHI",6,12,5.625,36,28,11,0,0,0,,,168,746,192,110,105,36,61,1,4,5,2,77,"Chad Ogea",1009744,119952
"Chris Brock","SFG",6,8,5.484375523030808,19,19,9,0,0,0,,,106.2,479,124,69,65,18,41,2,4,8,2,76,"Chris Brock",130,111496
"Denny Neagle","CIN",9,5,4.271642116337183,20,19,11,0,0,0,,,111.2,467,95,54,53,23,40,3,4,4,0,76,"Denny Neagle",441,119673
"Mike Williams","PIT",3,4,5.091429348319036,58,0,0,0,0,23,,,58.1,269,63,36,33,9,37,7,1,4,0,76,"Mike Williams",1014,124328
"Ken Hill","ANA",4,11,4.768831960286082,26,22,12,0,0,0,,,128.1,569,129,72,68,14,76,1,4,5,0,76,"Ken Hill",1005827,115941
"Brian Anderson","ARI",8,2,4.569231439624411,31,19,8,2,1,1,,,130,549,144,69,66,18,28,3,1,0,2,75,"Brian Anderson",44,110230
"Todd Stottlemyre","ARI",6,3,4.0855259056567235,17,17,9,0,0,0,,,101.1,446,106,51,46,12,40,1,6,2,0,74,"Todd Stottlemyre",75,122840
"Jose Paniagua","SEA",6,11,4.0557957178646085,59,0,0,0,0,3,,,77.2,350,75,37,35,5,52,4,7,6,0,74,"Jose Paniagua",483,120202
"David Weathers","MIL",7,4,4.645162052468257,63,0,0,0,0,2,,,93,414,102,49,48,14,38,3,2,1,1,74,"David Weathers",902,124000
"Manny Aybar","STL",4,5,5.474225606608442,65,1,0,0,0,3,,,97,430,104,67,59,13,36,3,4,1,2,74,"Manny Aybar",1107,110403
"Bobby Jones","COL",6,10,6.329376603838888,30,20,3,0,0,0,,,112.1,546,132,91,79,24,77,0,6,4,0,74,"Bobby Jones",1454,116718
"Scott Karl","MIL",11,11,4.780775962728,33,33,14,0,0,0,,,197.2,885,246,121,105,21,69,4,8,4,2,74,"Scott Karl",1006703,116845
"Jaime Navarro","CHW",8,13,6.087682987363966,32,27,10,0,0,0,,,159.2,748,206,126,108,29,71,1,11,9,0,74,"Jaime Navarro",1009465,119667
"Steve Sparks","ANA",5,11,5.424379115731579,28,26,10,0,0,0,,,147.2,688,165,101,89,21,82,0,9,8,0,73,"Steve Sparks",499,122562
"Trevor Hoffman","SDP",2,3,2.1386142652557423,63,0,0,0,0,40,,,67.1,263,48,23,16,5,15,2,0,4,0,73,"Trevor Hoffman",1035,116034
"Paul Spoljaric","- - -",2,5,6.259092462422819,42,5,0,0,0,0,,,73.1,346,85,65,51,10,39,2,3,0,0,73,"Paul Spoljaric",1012349,122605
"Kevin Tapani","CHC",6,12,4.830882352941177,23,23,10,1,0,0,,,136,591,151,81,73,12,33,2,4,3,0,73,"Kevin Tapani",1012824,123090
"Dennys Reyes","CIN",2,2,3.794595323246496,65,1,0,0,0,2,,,61.2,277,53,30,26,5,39,1,3,5,1,72,"Dennys Reyes",444,121096
"Brian Meadows","FLA",11,15,5.601869797964483,31,31,11,0,0,0,,,178.1,795,214,117,111,31,57,5,5,4,1,72,"Brian Meadows",998,132785
"Dan Smith","MON",4,9,6.022305515933751,20,17,5,0,0,0,,,89.2,407,104,64,60,12,39,0,4,3,0,72,"Dan Smith",1521,122368
"Jason Johnson","BAL",8,7,5.462427176359685,22,21,9,0,0,0,,,115.1,515,120,74,70,16,55,0,3,5,1,71,"Jason Johnson",147,116595
"Dave Veres","COL",4,8,5.142856633287243,73,0,0,0,0,31,,,77,349,88,46,44,14,37,7,2,8,1,71,"Dave Veres",1188,123707
"Kyle Farnsworth","CHC",5,9,5.053845857247816,27,21,7,1,1,0,,,130,579,140,80,73,28,52,1,3,7,1,70,"Kyle Farnsworth",278,150035
"Carl Pavano","MON",6,8,5.625,19,18,9,1,1,0,,,104,457,117,66,65,8,35,1,4,1,3,70,"Carl Pavano",790,134321
"Danny Graves","CIN",8,7,3.081081292853917,75,0,0,0,0,27,,,111,454,90,42,38,10,49,4,2,3,0,69,"Danny Graves",326,115056
