Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,NameASCII,PlayerId,MLBAMID
"Donnie Veal","CHW",0.24827586,0.60869565,0.39839034,0.5,0.86507937,0.73232323,0.41649899,0.48412698,0.10578842,0.16566866,0.27145709,"Donnie Veal",4741,453264
"Zach Putnam","CHC",0.31428571,0.71428571,0.51428571,0.72727273,0.8,0.77777778,0.5,0.68421053,0.11428571,0.15714286,0.27142857,"Zach Putnam",9080,474029
"Johnny Cueto","CIN",0.34912281,0.67885117,0.48163694,0.67336683,0.84230769,0.76906318,0.40188877,0.61570248,0.11064718,0.16075157,0.27139875,"Johnny Cueto",6893,456501
"Hector Ambriz","HOU",0.2729805,0.6360424,0.43302181,0.64285714,0.88888889,0.80215827,0.44080997,0.53216374,0.08474576,0.18644068,0.27118644,"Hector Ambriz",559,459932
"Josh Fields","HOU",0.27844311,0.61937716,0.43659711,0.59139785,0.88268156,0.78308824,0.46388443,0.5125,0.09247649,0.17868339,0.27115987,"Josh Fields",5070,451661
"Randall Delgado","ARI",0.33366534,0.62921348,0.46481994,0.75522388,0.85515873,0.81525626,0.44376731,0.60465116,0.08558807,0.18553285,0.27112093,"Randall Delgado",5985,517414
"Allen Webster","BOS",0.27070064,0.7239819,0.45794393,0.48235294,0.85,0.72244898,0.41308411,0.62758621,0.1271028,0.14392523,0.27102804,"Allen Webster",3993,543903
"Cesár Ramos","TBR",0.34146341,0.64665127,0.47269116,0.69897959,0.85357143,0.78991597,0.42999007,0.64930556,0.09746589,0.17348928,0.27095517,"Cesar Ramos",3357,459987
"Jamey Wright","TBR",0.26366559,0.65010352,0.43257919,0.64634146,0.86624204,0.79079498,0.43710407,0.59375,0.0896861,0.18116592,0.27085202,"Jamey Wright",715,124604
"Tim Hudson","ATL",0.3135825,0.65625,0.46763673,0.62790698,0.89965986,0.79935622,0.44957351,0.64606742,0.09322034,0.1774676,0.27068794,"Tim Hudson",921,218596
"Bryan Shaw","CLE",0.30059524,0.68468468,0.47432763,0.5990099,0.86315789,0.77147766,0.45232274,0.5664557,0.10769231,0.16275304,0.27044534,"Bryan Shaw",8110,543766
"Yoervis Medina","SEA",0.29429429,0.59267735,0.41251133,0.56122449,0.88030888,0.74285714,0.3961922,0.51890034,0.1037234,0.16666667,0.27039007,"Yoervis Medina",10498,500721
"Phil Hughes","NYY",0.29992107,0.67719021,0.48855564,0.72105263,0.86946387,0.82390953,0.5,0.7165109,0.0854902,0.18470588,0.27019608,"Phil Hughes",7450,461833
"Rex Brothers","COL",0.29733959,0.6970339,0.46714671,0.51052632,0.86018237,0.73217726,0.42484248,0.58362989,0.12421805,0.14566577,0.26988382,"Rex Brothers",9794,571521
"Jordan Zimmermann","WSN",0.3163201,0.68695652,0.49610642,0.6812749,0.89191821,0.82275997,0.48507463,0.66936416,0.08790139,0.18196562,0.26986701,"Jordan Zimmermann",4505,519455
"Erik Bedard","HOU",0.27431254,0.63468013,0.43411721,0.71393643,0.85013263,0.8022356,0.44344905,0.59879336,0.08585293,0.18327734,0.26913027,"Erik Bedard",126,407853
"Rafael Soriano","WSN",0.32057416,0.69108911,0.48586572,0.71144279,0.8739255,0.81454545,0.44611307,0.54873646,0.08970976,0.17941953,0.26912929,"Rafael Soriano",1100,400089
"Taylor Jordan","WSN",0.37443946,0.62883436,0.48186528,0.68263473,0.86341463,0.78225806,0.42227979,0.56363636,0.10478655,0.16429495,0.2690815,"Taylor Jordan",10466,518863
"Andy Pettitte","NYY",0.33596598,0.64365971,0.46853389,0.69620253,0.90399002,0.81918819,0.43084371,0.62244898,0.08459945,0.18439227,0.26899171,"Andy Pettitte",840,120485
"Blake Beavan","SEA",0.31914894,0.69716088,0.50464396,0.7047619,0.87782805,0.82208589,0.49071207,0.70114943,0.08964451,0.17928903,0.26893354,"Blake Beavan",338,518444
"Thad Weber","- - -",0.27941176,0.57425743,0.40506329,0.65789474,0.87931034,0.79166667,0.42616034,0.55737705,0.08403361,0.18487395,0.26890756,"Thad Weber",8036,519403
"Joe Ortiz","TEX",0.3,0.675,0.47647059,0.62037037,0.86574074,0.78395062,0.47058824,0.57754011,0.10174419,0.16715116,0.26889535,"Joe Ortiz",7955,517451
"Phil Coke","DET",0.30120482,0.71003717,0.48419301,0.57,0.84293194,0.74914089,0.44758735,0.58757062,0.11605723,0.15262321,0.26868045,"Phil Coke",5535,457435
"Samuel Deduno","MIN",0.23473684,0.63303909,0.41594951,0.56053812,0.92231076,0.81103448,0.45496271,0.51409978,0.07860011,0.18990247,0.26850258,"Samuel Deduno",5285,465679
"Josh Lueke","TBR",0.26046512,0.60962567,0.42288557,0.69642857,0.85964912,0.80588235,0.46517413,0.53535354,0.08128079,0.18719212,0.26847291,"Josh Lueke",5722,518961
"Matt Garza","- - -",0.3070508,0.67824497,0.4753419,0.64938272,0.86522911,0.78901482,0.45337754,0.63803681,0.09979381,0.16865979,0.26845361,"Matt Garza",3340,490063
"Chad Gaudin","SFG",0.26732673,0.63661202,0.44285714,0.60648148,0.88197425,0.79472141,0.47532468,0.591133,0.09032258,0.17806452,0.2683871,"Chad Gaudin",1783,429985
"Joe Blanton","LAA",0.33119487,0.65906736,0.47423146,0.66343826,0.8836478,0.79694948,0.43625678,0.63666121,0.09590275,0.17244484,0.26834759,"Joe Blanton",4849,430599
"Greg Burke","NYM",0.30057803,0.65116279,0.45033113,0.65384615,0.83928571,0.76838235,0.42715232,0.60897436,0.10294118,0.16503268,0.26797386,"Greg Burke",6282,457566
"Alex Colomé","TBR",0.19708029,0.703125,0.44150943,0.59259259,0.8,0.75213675,0.48301887,0.6056338,0.10943396,0.15849057,0.26792453,"Alex Colome",6661,517008
"Joe Thatcher","- - -",0.30617978,0.7,0.49260355,0.68807339,0.83928571,0.78978979,0.47337278,0.62195122,0.1035503,0.16420118,0.26775148,"Joe Thatcher",4620,491159
"Chris Archer","TBR",0.3,0.65547129,0.45676063,0.66951567,0.87603306,0.80020921,0.44099379,0.58095238,0.09082263,0.17689016,0.26771279,"Chris Archer",6345,502042
"Scott Rice","NYM",0.3312369,0.64285714,0.45006485,0.52531646,0.82539683,0.68876081,0.38132296,0.53521127,0.1388535,0.12866242,0.26751592,"Scott Rice",2743,446488
