Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Clay Rapada","CLE",0.14285714285714285,0.666666666,0.285714285,0.285714285,0.428571428,0.333333333,0,0,0,15,16,31,0.42857143,0.14285714,0.42857143,0.28571429,0.42857143,0.28571429,"Clay Rapada",4831,449060
"C.C. Lee","CLE",0.2857142857142857,0.571428571,0.153846153,0.307692307,0.538461538,0.142857142,0,3,6.230777229793366,36,48,84,0.35714286,0.28571429,0.35714286,0.14285714,0.57142857,0.28571429,"C.C. Lee",5177,547348
"Phil Coke","DET",0.3252032520325203,1.341463414,0.20661157,0.454545454,0.338842975,0.073170731,0.073170731,10,2.347826632119433,238,391,629,0.34126984,0.43650794,0.22222222,0.13492063,0.57936508,0.28571429,"Phil Coke",5535,457435
"Luis García","PHI",0.2727272727272727,2.083333333,0.168539325,0.561797752,0.269662921,0.041666666,0.125,5,1.4361706207435423,244,306,550,0.40659341,0.43956044,0.15384615,0.20879121,0.50549451,0.28571429,"Luis Garcia",6984,472610
"Cody Eppley","NYY",0.5714285714285714,6,0.142857142,0.857142857,0,0,0,0,0,10,21,31,0.28571429,0.57142857,0.14285714,0,0.71428571,0.28571429,"Cody Eppley",9095,543136
"Erasmo Ramírez","SEA",0.3004484304932735,1.178571428,0.214592274,0.424892703,0.360515021,0.071428571,0.142857142,41,5.101381897161864,471,806,1277,0.40851064,0.37021277,0.2212766,0.15319149,0.56170213,0.28510638,"Erasmo Ramirez",10314,541640
"Carter Capps","SEA",0.3652694610778443,1.109375,0.237288135,0.401129943,0.36158192,0.15625,0.1875,26,3.966101951347089,390,667,1057,0.35195531,0.39664804,0.25139665,0.17318436,0.54189944,0.2849162,"Carter Capps",12803,605169
"R.A. Dickey","TOR",0.26461538461538464,0.996376811,0.192082111,0.403225806,0.404692082,0.134057971,0.126811594,116,4.64688448340009,1212,2293,3505,0.41751825,0.33722628,0.24525547,0.22189781,0.49343066,0.28467153,"R.A. Dickey",1245,285079
"Justin Verlander","DET",0.3163934426229508,0.98765432,0.2272,0.384,0.3888,0.135802469,0.0781893,135,5.564885236905618,1256,2436,3692,0.40540541,0.30524642,0.28934817,0.17965024,0.53577107,0.2845787,"Justin Verlander",8700,434378
"Donnie Veal","CHW",0.2948717948717949,1.708333333,0.166666666,0.525641025,0.307692307,0.125,0.125,20,6.136367493426958,219,282,501,0.39506173,0.39506173,0.20987654,0.11111111,0.60493827,0.28395062,"Donnie Veal",4741,453264
"Dillon Gee","NYM",0.2962962962962963,1.12605042,0.195548489,0.426073131,0.378378378,0.06722689,0.100840336,85,3.844220810763043,1020,1965,2985,0.41395349,0.35813953,0.22790698,0.16124031,0.55503876,0.28372093,"Dillon Gee",7396,518716
"Bobby Parnell","NYM",0.2642857142857143,2,0.223021582,0.517985611,0.258992805,0.055555555,0.027777777,13,2.340000714111546,273,533,806,0.28368794,0.42553191,0.29078014,0.13475177,0.58156028,0.28368794,"Bobby Parnell",9926,458730
"Zach Duke","- - -",0.32727272727272727,1.75,0.207207207,0.504504504,0.288288288,0.09375,0.09375,4,1.1489362605506412,204,312,516,0.33628319,0.38938053,0.27433628,0.14159292,0.57522124,0.28318584,"Zach Duke",3840,435043
"Jason Vargas","LAA",0.31049250535331907,1.04347826,0.213389121,0.40167364,0.384937238,0.103260869,0.092391304,78,4.680000476074267,876,1510,2386,0.3822314,0.35123967,0.26652893,0.21280992,0.50413223,0.28305785,"Jason Vargas",8044,450306
"Casey Janssen","TOR",0.2535211267605634,1.619047619,0.225352112,0.478873239,0.295774647,0.071428571,0.071428571,10,1.7088608420099594,291,526,817,0.33793103,0.42068966,0.24137931,0.13793103,0.57931034,0.28275862,"Casey Janssen",7355,445163
"Blake Beavan","SEA",0.2923076923076923,0.912280701,0.204379562,0.379562043,0.416058394,0.105263157,0.140350877,21,4.764706416938604,205,442,647,0.44927536,0.25362319,0.29710145,0.17391304,0.54347826,0.2826087,"Blake Beavan",338,518444
"Scott Downs","- - -",0.3384615384615385,5.0625,0.23015873,0.642857142,0.126984126,0.1875,0.0625,23,4.776925950475311,286,426,712,0.41221374,0.3740458,0.21374046,0.17557252,0.54198473,0.28244275,"Scott Downs",773,275933
"Manny Corpas","COL",0.2777777777777778,1.425,0.236220472,0.448818897,0.314960629,0.15,0.125,17,3.6720002241211076,259,384,643,0.3740458,0.45038168,0.17557252,0.20610687,0.51145038,0.28244275,"Manny Corpas",2807,466918
"Héctor Rondón","CHC",0.2804878048780488,1.24137931,0.216867469,0.433734939,0.34939759,0.068965517,0.103448275,12,1.9756099858644516,369,566,935,0.31764706,0.38823529,0.29411765,0.19411765,0.52352941,0.28235294,"Hector Rondon",2391,444468
"Philip Humber","HOU",0.34196891191709844,1.246376811,0.213197969,0.436548223,0.350253807,0.028985507,0.130434782,7,1.1524389171657174,327,587,914,0.44059406,0.37128713,0.18811881,0.12376238,0.59405941,0.28217822,"Philip Humber",8586,458950
"Vin Mazzaro","PIT",0.2813852813852814,1.818181818,0.191304347,0.52173913,0.286956521,0.06060606,0.045454545,33,4.031675182419385,437,749,1186,0.34615385,0.37606838,0.27777778,0.16239316,0.55555556,0.28205128,"Vin Mazzaro",5231,476570
"Preston Claiborne","NYY",0.2953020134228188,1.210526315,0.181818181,0.448051948,0.37012987,0.140350877,0.122807017,16,2.860927441419128,310,529,839,0.41025641,0.3525641,0.23717949,0.22435897,0.49358974,0.28205128,"Preston Claiborne",10500,502011
"Greg Reynolds","CIN",0.3142857142857143,1.071428571,0.171428571,0.428571428,0.4,0.095238095,0.119047619,14,4.2954535969835295,172,300,472,0.31818182,0.43636364,0.24545455,0.17272727,0.54545455,0.28181818,"Greg Reynolds",5712,453353
"Sonny Gray","OAK",0.27647058823529413,1.916666666,0.195402298,0.528735632,0.275862068,0.041666666,0.083333333,50,7.03125,372,623,995,0.43678161,0.3908046,0.17241379,0.20114943,0.51724138,0.2816092,"Sonny Gray",12768,543243
