Name,Team,IP,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,NameASCII,PlayerId,MLBAMID
"Kenley Jansen","LAD",68.2,-2.2191380467908135,,2.1118455417591036,,,,3.1682256883190525,,,,,,,"Kenley Jansen",3096,445276
"Tony Watson","PIT",67.2,,,,,,11.056680786661255,0.9714130733324133,,,,12.78381300158074,,,"Tony Watson",3132,453265
"Max Scherzer","WSN",228.1,-7.921090118155992,,-2.1759322861493646,,,-8.676969585996686,0.592983974922453,3.8744095696343317,,,-9.471662534762881,,,"Max Scherzer",3137,453286
"David Price","BOS",230,7.093367376247374,,2.369285527314985,,,10.27375803964231,,,-2.1685231364192292,,10.804043665436655,,,"David Price",3184,456034
"Will Harris","HOU",64,-0.9270175465366297,,2.974451334125196,,,,,8.104022848195044,,,,,,"Will Harris",3192,501789
"Chris Young","KCR",88.2,-2.1954959840987516,,,,,,2.996353094592066,,,,-2.1015151630748403,,,"Chris Young",3196,432934
"Ervin Santana","MIN",181.1,-2.9127758658506018,,,,,-6.693137374578738,4.252681745377379,,,,-5.283583919558905,,,"Ervin Santana",3200,429722
"Francisco Liriano","- - -",163,5.845147076775046,,,,,9.674112896066257,-0.13717723949789415,-2.547499895095825,,,9.454448559704948,,,"Francisco Liriano",3201,434538
"Tyler Ladendorf","OAK",1,,,,,,,-0.5285714013235909,-0.44749999046325684,,,-0.8999999761581421,,,"Tyler Ladendorf",3211,502285
"T.J. McFarland","BAL",24.2,8.80746502943442,,,,,11.180160114471924,-2.423939329205137,,,,10.046122648278061,,,"T.J. McFarland",3237,519008
"Zack Britton","BAL",67,3.129999876022339,,,,,7.380192824043094,-4.750650024414062,,,,,,,"Zack Britton",3240,502154
"Jeff Samardzija","SFG",203.1,-6.48831261610139,,-1.7378585720260524,-7.122758536503233,,-9.794052299989703,0.05855823312361007,3.178996013350276,,,-9.693846482496996,,,"Jeff Samardzija",3254,502188
"Roberto Hernandez","ATL",9,-5.982857113792782,,,,,-9.177161964210304,0.9333333333333333,,,,-9.243256324945493,,,"Roberto Hernandez",3273,433584
"Joe Smith","- - -",52,-10.294444105360244,,,,,-10.113848218730851,8.123598272150213,,,,-9.115749740600586,,,"Joe Smith",3281,501925
"Aníbal Sánchez","DET",153.1,-2.035538755614182,,1.3171098301176392,-6.9518543655323874,,-6.081260200395976,3.4295262172632386,3.8917648016237747,,,-3.7219999516010285,,,"Anibal Sanchez",3284,434671
"Chris Hatcher","LAD",40.2,-3.818463246756737,,0.7610638395268866,-6.145789430852522,,-7.702856881277902,2.345548371345766,,,,,,,"Chris Hatcher",3299,501822
"Darren O'Day","BAL",31,-7.291733934700145,,,,,-8.571101819054554,4.387773273371849,,,,,,,"Darren O'Day",3321,503285
"Matt Garza","MIL",101.2,-3.59550012827215,,,,,-6.675837843244609,2.1555987608085556,4.903846153846154,,,-5.429671991066854,,,"Matt Garza",3340,490063
"Cesár Ramos","TEX",47.2,8.737404793604023,,,,,,0.4754762025106521,-6.098487405215993,,,9.670245002297793,,,"Cesar Ramos",3357,459987
"Miguel Montero","CHC",1.1,,,,,,,,-9.286521579908287,,,-10.744999885559082,,,"Miguel Montero",3364,471083
"Ubaldo Jiménez","BAL",142.1,-4.925158459893589,,1.167777783340878,-6.25773271568391,,-7.98318517614294,5.127907449021537,7.741734499187139,,,,,,"Ubaldo Jimenez",3374,434622
