Name,Team,IP,Pit+ FA,Pit+ SI,Pit+ FC,Pit+ FS,Pit+ SL,Pit+ CU,Pit+ CH,Pit+ KC,Pit+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Tommy Kahnle","LAD",12.2,60.755500000000005,,,,,,105.86902255639096,,,102.08802325581395,92.7154651162791,95.4063953488372,"Tommy Kahnle",11384,592454
"Junior Fernández","- - -",18.2,130.55380952380952,101.91314285714286,,,85.99665445665445,,51.9235294117647,,,113.23115498814089,83.04150434833535,95.35434212760974,"Junior Fernandez",18496,658551
"Brad Keller","KCR",139.2,96.14475124378112,88.30707930367504,,,103.33212660528042,129.18,60.64473282442748,,,92.64636140966027,99.15440882906827,95.34552208167595,"Brad Keller",15734,641745
"Mike Clevinger","SDP",114.1,101.5438645980254,87.87342657342656,107.23439716312056,,94.05714118579704,74.81792555831265,80.92085561497326,,,99.45483853330069,98.24339204551775,95.29704410843547,"Mike Clevinger",12808,605182
"Javier Assad","CHC",37.2,95.43537414965986,95.18725581395348,99.43258064516128,,89.49910447761194,101.87586206896552,76.37521739130435,,,94.31411594202898,98.5356231884058,95.23049275362318,"Javier Assad",21741,665871
"Bryce Elder","ATL",54,82.28259259259258,94.96927223719676,,,96.44225320111678,,111.85142857142858,,,90.29248489928194,102.73218171150783,95.17793467996538,"Bryce Elder",27779,693821
"Carlos Estévez","COL",57,89.60973647711513,,,,113.86053333333332,163.6,103.77608108108107,,,99.20743137254901,97.70496078431373,95.17070588235295,"Carlos Estevez",14542,608032
"José Ruiz","CHW",60.2,88.13232514177696,168.63600000000002,,,,101.70182926829266,100.21810276679845,,,93.01449327354266,96.70839461883408,95.16622421524663,"Jose Ruiz",14552,614179
"Erick Fedde","WSN",127,,83.07693581780538,99.80968609865472,,,109.90782733812948,72.72023255813953,,,90.42110327664867,104.87839900456247,95.11274160099545,"Erick Fedde",17425,607200
"Jackson Stephens","ATL",53.2,79.05623188405798,109.81172413793101,,,97.30545454545452,102.90220588235293,98.39362637362639,,,93.11701367052693,108.67977653577726,95.09105222793157,"Jackson Stephens",14420,623451
"Noah Davis","COL",1,-55.29999999999998,106.94,,,112.18,188.01999999999998,125.2,,,113.31,94.991875,95.081875,"Noah Davis",25862,663562
"Justin Bruihl","LAD",23.2,,110.62884615384613,92.73663636363639,,87.12955223880594,,,,,103.34414414414417,93.54414414414416,94.94936936936938,"Justin Bruihl",23779,677865
"Luis F. Castillo","DET",3.2,,,,,116.99555555555555,,21.7,,,88.83266666666667,103.59233333333333,94.90666666666667,"Luis F. Castillo",20638,622379
"Andrés Machado","WSN",59.1,100.71871794871798,91.12672672672673,,,96.755175879397,,87.69948717948718,,,101.26369849246232,93.39853266331652,94.87764824120605,"Andres Machado",14681,600921
"Art Warren","CIN",36,78.24249084249084,,,,106.54010498687666,,,,,89.72993865030674,101.97493865030673,94.87512269938651,"Art Warren",18251,605521
"Eric Stout","- - -",22.1,79.34178343949044,,,,110.67872922930844,89.8352,80.33236363636365,,,108.45465093310365,91.43552064312372,94.86640264140107,"Eric Stout",16873,657770
"Simeon Woods Richardson","MIN",5,85.58,,,,94.66,126.44,100.02,,,91.48219780219779,108.26659340659342,94.8589010989011,"Simeon Woods Richardson",24494,680573
"Daniel Mengden","KCR",7,62.67428571428571,,110.89948717948718,,-11.959999999999994,110.1447619047619,107.23913043478261,,,93.02605042016806,108.4327731092437,94.84252100840337,"Daniel Mengden",16980,596043
"Cody Morris","CLE",23.2,93.88433333333333,,104.5864566929134,,,97.51714285714286,78.22,,,102.31608910891089,91.98777227722772,94.8250495049505,"Cody Morris",25388,663752
"Archie Bradley","LAA",18.2,100.61866666666666,124.25309523809526,,,,,70.08208333333333,74.82626506024096,,90.46157377049175,101.28321311475412,94.82045901639344,"Archie Bradley",12918,605151
"Dauri Moreta","CIN",38.1,99.91058103975534,,,,85.23088435374152,,97.54409448818897,,,95.93033228011032,96.53964902202013,94.75116967368155,"Dauri Moreta",21101,664294
"Jake Odorizzi","- - -",106.1,98.03547826086957,,101.48393700787403,85.46602006688963,94.26713178294574,85.94550724637682,,,,89.90101805798733,104.49632807594347,94.74246993550821,"Jake Odorizzi",6397,543606
"Bruce Zimmermann","BAL",73.2,88.08560975609757,103.49526315789474,,,107.69572129590541,89.04987067669173,92.74084337349397,,,88.40067656923357,104.5644826433422,94.59931761867071,"Bruce Zimmermann",20370,669145
"Patrick Corbin","WSN",152.2,84.17238738738739,92.92823529411764,,,103.98784876140812,131.9,90.91769585253456,,,87.36524464831805,104.88965596330269,94.58116972477067,"Patrick Corbin",9323,571578
"Carl Edwards Jr.","WSN",62,97.10011887072808,75.77538461538462,,,,91.28855895196509,86.2795918367347,,,91.82959999999994,100.64895609756093,94.5618536585366,"Carl Edwards Jr.",13607,605218
"Germán Márquez","COL",181.2,81.62878965922445,91.70325036603221,,,103.64966216216219,,79.47209302325582,108.37916932907346,,93.5296749116607,98.50080565371022,94.53561130742047,"German Marquez",15038,608566
"Michael Lorenzen","LAA",97.2,87.5486685552408,107.9850267379679,95.06351648351647,,94.47407624633429,83.50882352941177,88.09224932249323,,,95.07907878787876,98.09981818181815,94.45038787878788,"Michael Lorenzen",14843,547179
"Mark Appel","PHI",10.1,,87.95232142857142,,,130.94733333333332,,40.53142857142858,,,84.63785234899329,101.6276510067114,94.38120805369128,"Mark Appel",14823,571446
"Shane Greene","- - -",3,,46.94705882352941,99.52,,135.95176470588234,,116.96000000000001,,,100.3984,94.60879999999999,94.3808,"Shane Greene",10756,572888
"MacKenzie Gore","SDP",70,97.94659685863876,,,,83.30454545454545,98.14767754155228,75.8069696969697,,,98.85464919524203,94.61844805900654,94.34765539620784,"MacKenzie Gore",22201,669022
"Tony Gonsolin","LAD",130.1,83.7126742712294,,,97.35365765765765,105.10273781902552,102.34845188284521,,,,93.1093625498008,100.40908366533866,94.3187948207171,"Tony Gonsolin",19388,664062
"Jake Woodford","STL",48.1,81.4573154362416,98.19812030075187,,,101.60467005076143,84.49118644067798,95.1946153846154,,,88.33681492109038,106.92020086083213,94.3047345767575,"Jake Woodford",18674,663765
"Daniel Norris","- - -",58.2,96.77437681159421,98.69063291139243,,,102.50822478334672,45.666666666666664,89.43632508833922,,,94.0617584159172,96.89300115203709,94.2747104313456,"Daniel Norris",13475,596057
"Keegan Thompson","CHC",115,94.4423344556678,83.9353488372093,100.30826732673268,,78.21468354430378,98.150820668693,69.47415730337079,,,96.97559048109511,95.84302553599798,94.22492532067403,"Keegan Thompson",19795,624522
"Andrew Bellatti","PHI",54.1,92.65319693094628,,,,100.34256425642566,,54.92144927536232,,,101.80132581000737,89.0587637827618,94.1665252299008,"Andrew Bellatti",10657,571479
"Mike Minor","CIN",98,91.44820441988948,66.72,,,102.89110599078343,,95.01772839506172,82.93021978021977,,93.96549199084666,98.76326086956522,94.15933638443936,"Mike Minor",10021,501985
"Yerry De los Santos","PIT",25.2,130.324,82.42136363636362,,,110.17615819209038,,106.06,,,97.95595505617976,97.08687640449436,94.10862921348318,"Yerry De los Santos",21420,660787
"Garrett Richards","TEX",42.2,87.95397727272729,113.86,,,112.46988764044944,78.4975,79.4721138211382,,,95.53243159155406,95.22710454147037,94.08649882406033,"Garrett Richards",9784,572070
"Adam Kolarek","OAK",17.2,66.76470588235294,112.07955156950672,,,68.89115384615384,,28.750370370370373,,,106.79690851735015,89.23463722397474,94.06940063091486,"Adam Kolarek",10843,592473
"Lucas Giolito","CHW",161.2,82.23800456968773,,,,97.2952160493827,76.83460674157303,115.49125356125352,,,96.13333333333335,97.72774990912401,94.06792439113049,"Lucas Giolito",15474,608337
"Matt Wisler","TBR",44,64.34062500000002,,,,97.12615580114948,,-66.75999999999999,,,92.57403625781966,102.73195133383338,93.99112860695845,"Matt Wisler",12804,605538
"Caleb Smith","ARI",70,88.21115452930731,,,,109.70922507731416,76.4145,87.4707299270073,,,99.72492694397613,94.48728740812717,93.98973623080724,"Caleb Smith",14875,592761
"Zach Jackson","OAK",48,78.6406652806653,,186.88,,111.79010152284265,,113.03,,,90.22455266138164,99.4505549263873,93.93152887882218,"Zach Jackson",19493,667427
"Enyel De Los Santos","CLE",53.1,93.67412915851277,,,,110.59246861924687,,52.48425531914893,,,96.65130331753558,100.67191943127963,93.87748815165874,"Enyel De Los Santos",18403,660853
"Alek Manoah","TOR",196.2,102.08327341532639,88.23798692810459,,,96.30240601503759,,74.45732522796354,,,98.2639428959891,96.30397688647177,93.85199184228414,"Alek Manoah",26410,666201
"Nate Fisher","NYM",3,66.96000000000001,,,,127.08000000000001,91.52,105.4,,,96.55799999999999,110.67120000000001,93.7648,"Nate Fisher",25512,688010
"Vince Velasquez","CHW",75.1,98.00080843585236,79.52795918367347,,,94.7139778504908,,81.69472727272728,92.15877934272301,,94.7263052397876,98.3428056409796,93.67313346251503,"Vince Velasquez",11189,592826
"Luis F. Ortiz","SFG",8.2,88.19806451612904,92.80074074074074,,,97.74111111111112,106.83833333333332,82.57166666666667,,,93.48864406779663,101.14372881355933,93.64745762711864,"Luis F. Ortiz",16942,656814
"Xzavion Curry","CLE",9.1,84.60865979381444,,,,116.21217391304349,98.07333333333332,72.024,,,96.32715151515151,95.35357575757575,93.6358787878788,"Xzavion Curry",25595,675540
