Name,Team,IP,K/9+,BB/9+,K/BB+,HR/9+,K%+,BB%+,AVG+,WHIP+,BABIP+,LOB%+,ERA-,FIP-,xFIP-,LD%+,GB%+,FB%+,NameASCII,PlayerId,MLBAMID
"Boone Logan","CLE",21,144.59491968048712,120.06592797588125,120.42959995695325,65.50284419497325,142.60195320917185,118.41104435963,98.14402700908505,103.64654238089186,119.4700219402965,86.13261851864112,103.40661218871301,71.57727413233219,70.5760522588692,114.1111917807396,115.5189444636243,73.77424933070871,"Boone Logan",5525,457429
"James Pazos","SEA",53.2,131.34786024915186,125.28617680845193,104.8382678105102,89.71041067289981,125.51942769225641,119.72672372113603,96.07416482808776,104.88967186529257,107.15057123662083,98.15683018612245,91.71453288470455,93.96599733156002,82.99998647939906,109.12702506192122,117.90899145502188,73.70156533825067,"James Pazos",13323,572021
"Mike Montgomery","CHC",130.2,82.10519750139082,112.270857252648,73.13135256343186,55.91474717755847,85.30204113178652,116.64222447906907,85.73301493747468,89.48196497481995,84.74780822112864,103.19797021503972,78.06526644386574,94.01477581615197,100.68348519157236,82.08284900817159,128.44458913314944,73.5192063600333,"Mike Montgomery",4869,543557
"Wade Miley","BAL",157.1,97.87722176903803,165.59930394745436,59.10484973392026,109.28698804575458,90.39945265874843,152.9475994633834,112.75675496075468,129.75497278739476,112.34645022977597,98.35558761162102,125.87891607254966,114.90698539100654,106.11609337639605,113.0831630615965,116.2394368133576,73.48940667978006,"Wade Miley",8779,489119
"Danny Coulombe","OAK",51.2,81.85937763106497,119.29130279455593,68.62141163808182,53.247470537437835,82.5333220578986,120.27342108425871,94.73695456887329,98.78126009855818,94.7795507393019,103.77423915251948,82.46273153401029,97.12877744344681,104.02754257201367,84.02959222609941,129.86443423706422,73.42983173908861,"Danny Coulombe",13293,543056
"Jeanmar Gómez","PHI",22.1,100.87911748389243,83.60143242299533,120.66673174896924,229.00013321371503,96.73251497814041,80.1650201759814,135.25382394968932,125.91380597579047,127.40377108921336,95.6802372544851,166.69194785924125,147.96414125916573,88.8625464853279,116.97892826465008,112.69583844721143,73.42581904473923,"Jeanmar Gomez",9033,491646
"Tyler Pill","NYM",22,78.02482544403351,121.24016597235014,64.35559025807248,99.62992267181907,74.44541770273021,115.67823960709573,100.3997610483048,107.63922860462773,93.44504533933113,83.11245916155822,130.0973356850081,120.45818435435802,108.99771680953789,124.29011128576022,109.38125505920286,73.4258189842709,"Tyler Pill",12751,543652
"Joe Biagini","TOR",119.2,87.90480275841993,98.32691859558713,89.4005448599799,86.21191415069191,86.95409217376265,97.26348857663214,105.04315787177443,104.74158908140745,103.14355541475273,84.7358732853128,122.35450476831765,95.91665186316781,93.55939904065575,86.86842990822046,128.63190562465675,73.3185010714487,"Joe Biagini",13194,607352
"Chris Volstad","CHW",19.1,56.09283542757627,72.45354965605004,38.70951427326032,142.2992280674905,60.981098378277295,78.7675812694561,90.85332785983874,81.52456800829529,72.53537046375145,92.43500518237568,108.69658059920395,128.95778995640669,103.0471192402779,57.689547115151406,142.47336482306744,73.0716373670785,"Chris Volstad",9901,458690
"Michael Lorenzen","CIN",83,103.4063962469233,109.26222300553738,94.64057390183207,79.22379475934036,102.078897128169,107.85954380508463,95.8785221606806,99.85808059193943,98.61541896809305,97.1431569577332,100.12119844048883,90.84779442835406,89.9981705849958,98.7931284224361,121.30261409571352,72.9539773841293,"Michael Lorenzen",14843,547179
