Name,Team,IP,wFA,wFT,wFC,wFS,wFO,wSI,wSL,wCU,wKC,wEP,wCH,wSC,wKN,NameASCII,PlayerId,MLBAMID
"Zeke Spruill","ARI",22.2,0.1467610001564026,,,,,2.9385730922222137,-0.9180827736854553,-0.6447839513421059,,,-0.06227728724479675,,,"Zeke Spruill",3873,543809
"Ethan Martin","PHI",4,-0.007799182087182999,,,,,0.3215171992778778,-0.0650017186999321,0.1043471097946167,,,-0.024860508739948273,,,"Ethan Martin",3877,543495
"Gavin Floyd","ATL",54.1,2.242055892944336,,1.0461266040802002,,,-2.9596328735351562,,3.512995481491089,,,-2.170016288757324,,,"Gavin Floyd",3886,425856
"Casey Fien","MIN",63.1,4.377574920654297,,,,,-2.3069682121276855,1.0467032194137573,-2.1155312061309814,,,,,,"Casey Fien",3926,502272
"David Carpenter","ATL",61,2.5200765132904053,,,,,-0.2976800799369812,0.2811741828918457,,,,0.532501220703125,,,"David Carpenter",3959,502304
"Edward Mujica","BOS",60,-6.302853584289551,,,-0.5453418493270874,,0.7075387239456177,0.7399648427963257,,,,,,,"Edward Mujica",3970,465629
"Edinson Volquez","PIT",192.2,5.243200361728668,,,,,-4.6034716963768005,,,7.576537042856216,,0.9169001281261444,,,"Edinson Volquez",3990,450172
"Allen Webster","BOS",59,-6.011631965637207,,,,,-3.537924289703369,1.939043402671814,-0.6478941440582275,,,3.8615193367004395,,,"Allen Webster",3993,543903
"Josh Outman","- - -",28.1,1.4470207691192627,,,,,-0.41170623898506165,-0.8166812062263489,-0.22073394060134888,,,-0.6543369218707085,,,"Josh Outman",4004,489189
"Yusmeiro Petit","SFG",117,1.0806074142456055,,-1.2470489144325256,,,,6.563363552093506,4.782348871231079,,,5.542523741722107,,,"Yusmeiro Petit",4020,433589
"Héctor Santiago","LAA",127.1,8.311752915382385,,1.2198321595788002,,,-4.086866807192564,-0.06452210247516632,-4.924377277493477,,,-0.06085759401321411,0.3138861656188965,,"Hector Santiago",4026,502327
"Eury De La Rosa","ARI",36.2,1.5732755661010742,,,,,0.12257134914398193,4.254436016082764,-1.9730942249298096,,,-1.4775809049606323,,,"Eury De La Rosa",4055,545001
"Brian Duensing","MIN",54.1,-2.1530661582946777,,,,,6.083584785461426,-2.78974986076355,-1.1503021717071533,,,0.8114818930625916,,,"Brian Duensing",4064,488846
"Pedro Strop","CHC",61,2.77009916305542,,,,,3.8476712703704834,9.106268882751465,,,,-0.24744659662246704,,,"Pedro Strop",4070,467008
"Junichi Tazawa","BOS",63,1.9682074785232544,,,,0.13113664090633392,,1.9702543020248413,1.6067349910736084,,,,,,"Junichi Tazawa",4079,547749
"Erik Cordier","SFG",6,0.29730045795440674,,,,,-0.25947922468185425,0.640169620513916,,,,,,,"Erik Cordier",4086,449170
"James Russell","- - -",57.2,1.260894775390625,,1.6152467131614685,,,3.1933546997606754,-2.620126686990261,0.7060947678983212,,,5.683835208415985,,,"James Russell",4089,460701
"Luke Gregerson","OAK",72.1,2.894080638885498,,-0.38955989480018616,,,5.0330376625061035,3.2088634967803955,-0.46669507026672363,,,0.9765098094940186,,,"Luke Gregerson",4090,502381
"Carlos Villanueva","CHC",77.2,1.3210512399673462,,,,,-0.7995448112487793,3.8018195629119873,0.19143331050872803,,0.3247723877429962,-10.468210697174072,,,"Carlos Villanueva",4138,453646
"Derek Holland","TEX",37,0.010636352002620697,,,,,5.88334459066391,2.7491709887981415,,0.04656776040792465,,-1.980566143989563,,,"Derek Holland",4141,502706
"Jake Arrieta","CHC",156.2,7.184840679168701,,0.3109549582004547,,,6.781313419342041,14.834177017211914,3.067525625228882,,,0.3490631580352783,,,"Jake Arrieta",4153,453562
"Wilton Lopez","COL",6.1,-2.7610208988189697,,,-1.3442728519439697,,-1.868704915046692,-1.4472628831863403,,,,,,,"Wilton Lopez",4227,446641
"Jered Weaver","LAA",213.1,5.299530029296875,,-4.8359904289245605,,,-6.735240459442139,-2.435023546218872,12.540481567382812,,,3.0211079120635986,,,"Jered Weaver",4235,450308
