Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,NameASCII,PlayerId,MLBAMID
"Alfredo Figaro","MIL",8.2,0.3,0.7816092,0.56687898,0.52380952,0.92647059,0.83146067,0.55414013,23.91071429,"Alfredo Figaro",8404,451628
"Tommy Layne","BOS",19,0.22058824,0.59146341,0.42333333,0.53333333,0.91752577,0.82677165,0.54666667,23.89041096,"Tommy Layne",7501,518927
"Javy Guerra","CHW",46.1,0.26239067,0.63017032,0.46286472,0.66666667,0.87258687,0.81948424,0.54509284,23.88043478,"Javy Guerra",7407,457915
"Kyle Drabek","TOR",3,0.3030303,0.72727273,0.47272727,0.4,0.875,0.69230769,0.4,23.85714286,"Kyle Drabek",4359,475138
"Tom Gorzelanny","MIL",21,0.25945946,0.66666667,0.46524064,0.6875,0.83333333,0.79310345,0.50534759,23.85294118,"Tom Gorzelanny",6244,452733
"Corey Kluber","CLE",235.2,0.33130699,0.59468258,0.47047018,0.47706422,0.87773723,0.74466789,0.52838303,23.81980519,"Corey Kluber",2429,446372
"Corey Knebel","DET",8.2,0.19512195,0.58426966,0.39766082,0.625,0.80769231,0.76470588,0.52046784,23.81889764,"Corey Knebel",15010,608349
"T.J. McFarland","BAL",58.2,0.30555556,0.65726681,0.49474912,0.59504132,0.94059406,0.84198113,0.53792299,23.81469115,"T.J. McFarland",3237,519008
"Randy Choate","STL",36,0.28169014,0.61486486,0.45172414,0.5,0.87912088,0.76335878,0.51034483,23.81418093,"Randy Choate",813,329092
"Kyle Kendrick","PHI",199,0.25876903,0.62958281,0.44843194,0.68797954,0.8935743,0.83561644,0.51147753,23.79850047,"Kyle Kendrick",6230,452718
"Tim Hudson","SFG",189.1,0.2863671,0.64883402,0.47708409,0.59308511,0.90274841,0.81467474,0.52616384,23.79593961,"Tim Hudson",921,218596
"Ken Giles","PHI",45.2,0.36950147,0.62750716,0.5,0.45238095,0.80365297,0.67536232,0.5057971,23.7956778,"Ken Giles",12910,571704
"Kevin Chapman","HOU",21.1,0.21511628,0.56157635,0.40266667,0.51351351,0.92105263,0.82119205,0.54133333,23.78787879,"Kevin Chapman",11240,502087
"Shae Simmons","ATL",21.2,0.25,0.66486486,0.46027397,0.62222222,0.77235772,0.73214286,0.50684932,23.7443609,"Shae Simmons",14200,623406
"Fernando Rodriguez Jr.","OAK",9,0.16,0.76056338,0.51239669,0.625,0.90740741,0.87096774,0.58677686,23.71590909,"Fernando Rodriguez Jr.",7558,451775
"Alex Cobb","TBR",166.1,0.34082923,0.5918713,0.4546851,0.60412371,0.88412017,0.76942568,0.45353303,23.70817745,"Alex Cobb",6562,502171
"Jake Arrieta","CHC",156.2,0.30887372,0.59175424,0.45413034,0.57458564,0.86612022,0.76965265,0.51349108,23.70087464,"Jake Arrieta",4153,453562
"Zach Putnam","CHW",54.2,0.36746988,0.60623229,0.46650999,0.54098361,0.8271028,0.69521411,0.41480611,23.68438003,"Zach Putnam",9080,474029
"Kevin Quackenbush","SDP",54.1,0.22511848,0.65082645,0.45253863,0.68421053,0.82539683,0.79268293,0.53421634,23.6731055,"Kevin Quackenbush",12360,534812
"Brian Matusz","BAL",51.2,0.28888889,0.66518847,0.4772475,0.66923077,0.84666667,0.79302326,0.50055494,23.65801527,"Brian Matusz",2646,451085
"Zac Rosscup","CHC",13.1,0.24698795,0.664,0.42611684,0.43902439,0.77108434,0.66129032,0.42955326,23.65470852,"Zac Rosscup",9419,573127
"Matt Lindstrom","CHW",34,0.22957198,0.66107383,0.46126126,0.6440678,0.88324873,0.828125,0.53693694,23.65194805,"Matt Lindstrom",4604,434637
"Will Smith","MIL",65.2,0.30936455,0.57085828,0.42857143,0.36756757,0.89160839,0.68577495,0.45586897,23.64831039,"Will Smith",8048,519293
"Nate Karns","TBR",12,0.27368421,0.6,0.44878049,0.57692308,0.86363636,0.7826087,0.53658537,23.64516129,"Nate Karns",12638,501992
"Jeremy Affeldt","SFG",55.1,0.28672986,0.5902439,0.43629808,0.58677686,0.88016529,0.78236915,0.49278846,23.64344942,"Jeremy Affeldt",583,346793
"Taylor Thompson","CHW",5.1,0.27941176,0.45454545,0.34821429,0.47368421,0.9,0.69230769,0.39285714,23.62162162,"Taylor Thompson",10019,543853
"Dana Eveland","NYM",27.1,0.34274194,0.49775785,0.41613588,0.52941176,0.90990991,0.74489796,0.47346072,23.60806916,"Dana Eveland",5508,445968
