Name,Team,IP,Loc+ FA,Loc+ SI,Loc+ FC,Loc+ FS,Loc+ SL,Loc+ CU,Loc+ CH,Loc+ KC,Loc+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Nick Pivetta","SDP",181.2,108.93413109756099,84.01345132743364,105.52553359683797,92.32,103.61407528641571,117.79227799227796,,,,97.9044099913867,109.27569910996273,103.7193913293138,"Nick Pivetta",15454,601713
"Clarke Schmidt","NYY",78.2,109.73299999999999,94.97219999999999,102.86826612903226,,98.54962099125363,,,109.17058295964124,,100.98815873015876,102.72976190476194,103.66598412698416,"Clarke Schmidt",19899,657376
"Luis Morales","ATH",48.2,106.50576744186047,,,,87.26117457512605,,103.01682242990654,,,102.70689707104093,99.55916697770878,103.64795156073718,"Luis Morales",32227,806960
"Cade Cavalli","WSN",48.2,91.02073170731707,101.76611111111112,92.8832,,106.16,,95.71757009345795,95.17091666666668,,108.31933333333332,94.2718271604938,103.57560493827158,"Cade Cavalli",27473,676917
"Grant Anderson","MIL",69.2,106.73378238341965,96.72881944444445,,,103.48949343339591,,99.49347826086957,,,103.97740800000005,102.81367999999999,103.57264000000008,"Grant Anderson",20546,681982
"Ryan Zeferjahn","LAA",57,78.41491927825261,,83.99393068129861,,85.54172231054584,,,,,120.92358475173651,83.6053263846464,103.54170768522265,"Ryan Zeferjahn",25420,666171
"Hunter Dobbins","BOS",61,106.49862068965516,80.8876923076923,,102.32345679012347,99.9328735632184,117.1610714285714,,,,97.8180965297963,104.58482029864531,103.53799993703892,"Hunter Dobbins",30240,690928
"Eduard Bazardo","SEA",78.2,99.6128,101.9978672032193,60.13333333333333,121.9752,106.22286259541984,,,,,104.110408496732,103.85462418300652,103.50060457516342,"Eduard Bazardo",20997,660825
"Porter Hodge","CHC",33,82.20412698412699,,,51.839999999999996,103.50324607329844,,,,,107.26077363896849,93.5857020057307,103.46776504297996,"Porter Hodge",26413,687863
"Casey Mize","DET",149,99.10709113607992,117.65538461538459,,108.37929701230227,113.1364480874317,104.15690476190474,,,,95.65650658733531,106.52951976200595,103.45702507437313,"Casey Mize",20492,663554
"Brandyn Garcia","- - -",14.1,,87.7526896551724,,,89.68619047619049,,33.10666666666667,,,116.03711191335739,87.44851985559565,103.41018050541511,"Brandyn Garcia",33568,805299
"Luinder Avila","KCR",14,105.5659375,93.81803921568628,,,,100.83684210526316,78.87333333333332,,,104.19767441860466,99.7553488372093,103.35404651162789,"Luinder Avila",24452,679883
"Hunter Brown","HOU",185.1,90.97459555555557,98.66399390243905,99.30475609756098,,106.52213740458016,,95.29252808988764,94.90747169811321,,107.18984417344177,95.07353658536589,103.31539295392953,"Hunter Brown",25880,686613
"Jordan Hicks","- - -",67.1,101.72504504504504,99.23059724349157,,80.30333333333333,89.9429909484455,,,,,109.59849205882354,95.53963486928104,103.24813153594769,"Jordan Hicks",19618,663855
"Mick Abel","- - -",39,96.23129553897542,110.09779384501297,,,101.15978947368421,91.52521951219511,81.13015873015873,,,108.55159365324734,96.0789739384421,103.16816481326201,"Mick Abel",27756,690953
"Yusei Kikuchi","LAA",178.1,97.90828862164659,74.40777777777777,,,114.86017652250665,114.98924369747898,90.45342245989305,,,94.93767171880043,105.56131570461142,103.16405675588517,"Yusei Kikuchi",20633,579328
"Ryan Burr","TOR",2,121.24499999999999,,,,113.312,,,,,92.25846153846153,115.45076923076923,103.14307692307692,"Ryan Burr",17536,621114
"Kyle Harrison","- - -",35.2,115.41955056179775,158.02,63.08909090909091,,,114.47316770186336,99.58125,,,96.6755413378414,111.77942997342305,103.04343997567167,"Kyle Harrison",27758,690986
"Jackson Jobe","DET",49,98.15794871794871,75.25669565217392,,,96.33180811808118,102.25971830985917,105.37351351351353,,,108.67506302521005,95.89121848739502,102.97831932773111,"Jackson Jobe",30203,695549
"Chase Lee","DET",37.1,113.54919254658384,114.71711340206187,,,96.28334928229665,,111.58611111111114,,,98.72330000000002,107.79476666666666,102.96616666666668,"Chase Lee",29574,695445
"Easton McGee","MIL",14.2,108.21155555555556,108.13098591549297,115.81172413793104,,108.9425,105.7934328358209,95.94,,,100.3263392857143,108.25366071428569,102.94714285714288,"Easton McGee",22176,668834
"Brent Suter","CIN",67.2,100.57575371549893,98.18604651162794,,,112.14147058823532,,90.82517928286856,,,103.85873857389089,99.31520872645685,102.906314428007,"Brent Suter",13942,608718
"Ryan Johnson","LAA",14.2,62.239999999999995,108.88214285714285,101.56737704918032,73.15875000000001,117.59378378378379,,,,,102.7628169014084,103.1360563380282,102.84957746478871,"Ryan Johnson",35325,696270
"Cam Booser","CHW",31,93.05595419847329,,83.0608849557522,,114.49406593406594,,81.22714285714287,,,108.5305078809107,97.75961471103327,102.84574430823119,"Cam Booser",16061,592155
"Bryan Abreu","HOU",71,85.93478114478116,96.30714285714284,,,94.52586805555552,,29.288,,,110.42687973086623,89.98057190916738,102.84218671152225,"Bryan Abreu",16609,650556
"Robert Stephenson","LAA",10,108.62,,94.6639603960396,82.97500000000001,119.1309090909091,,,,,112.04394736842106,96.99736842105261,102.81763157894736,"Robert Stephenson",13594,596112
"Will Warren","NYY",162.1,99.7928755364807,102.71568027210886,,,101.02186851211076,87.53408163265306,98.03563636363637,,,100.29404574696217,99.63031451036454,102.68825589706931,"Will Warren",30182,701542
"Troy Taylor","SEA",6.2,95.4366265060241,,,,114.1216,,60.73,,,102.90970149253731,101.83029850746266,102.6520895522388,"Troy Taylor",31883,700187
