Name,Team,IP,FA%,FT%,FC%,FS%,FO%,SI%,SL%,CU%,KC%,EP%,CH%,SC%,KN%,UN%,NameASCII,PlayerId,MLBAMID
"Matt Moore","TBR",9.1,0.65680473,,,,,0.0591716,,,0.14201183,,0.14201183,,,,"Matt Moore",1890,519043
"Jason Frasor","- - -",60,0.67208672,,,,,0.03613369,0.12014453,,,,0.17163505,,,,"Jason Frasor",1906,430630
"Scott Proctor","- - -",40.1,0.63870968,,,,,0.04903226,0.20774194,0.10451613,,,,,,,"Scott Proctor",1911,429984
"Matt Thornton","CHW",59.2,0.82478219,,0.07841239,,,0.03872217,0.05808325,,,,,,,,"Matt Thornton",1918,407819
"Brian Bruney","CHW",19.2,0.70603015,,,,,0.00502513,0.17336683,,,,0.11557789,,,,"Brian Bruney",1929,430663
"Frank Francisco","TOR",50.2,0.65807963,,,0.20140515,,0.03512881,0.00234192,0.1030445,,,,,,,"Frank Francisco",1933,407911
"Mike Adams","- - -",73.2,0.23596575,,,,,0.094196,0.60038059,0.05423406,,,0.0152236,,,,"Mike Adams",1937,430606
"Justin Germano","CLE",12.2,0.09178744,,,,,0.58454106,0.01449275,0.15458937,,,0.15458937,,,,"Justin Germano",1938,430683
"Zack Greinke","MIL",171.2,0.3707231,,0.00246914,,,0.18518519,0.21340388,0.13932981,,0.00246914,0.08641975,,,,"Zack Greinke",1943,425844
"Raul Valdes","- - -",12,0.14468085,,,,,0.44255319,,0.39574468,,,0.01702128,,,,"Raul Valdes",1953,447744
"Justin Berg","CHC",12,,,,,,0.82681564,0.1396648,0.03351955,,,,,,,"Justin Berg",1973,448753
"Josh Judy","CLE",14,0.61176471,,,,,,0.38823529,,,,,,,,"Josh Judy",1975,518865
"Cory Luebke","SDP",139.2,0.5919761,,,,,0.0789586,0.22535211,0.03627828,,,0.06743491,,,,"Cory Luebke",1984,458537
"Iván Nova","NYY",165.1,0.43614931,,,,,0.17760314,0.11984283,0.22357564,,,0.04282908,,,,"Ivan Nova",1994,467100
"Tim Byrdak","NYM",37.2,0.33068362,,,,,0.09697933,0.50079491,,,,0.07154213,,,,"Tim Byrdak",1995,136263
"Buddy Carlyle","NYY",7.2,0.33834586,,,,,0.27067669,0.35338346,,,,0.03759398,,,,"Buddy Carlyle",2010,234194
"Clayton Kershaw","LAD",233.1,0.65286624,,,,,,0.25911986,0.05327157,,,0.03474233,,,,"Clayton Kershaw",2036,477132
"Justin Masterson","CLE",216,0.31215389,,,,,0.5362868,0.14368989,,,,0.00786943,,,,"Justin Masterson",2038,475416
"Jorge De La Rosa","COL",59,0.47468354,,,0.28375527,,,0.13080169,0.11075949,,,,,,,"Jorge De La Rosa",2047,407822
"Matt Guerrier","LAD",66.1,0.34734735,,0.35135135,,,0.13713714,,0.14414414,,,0.02002002,,,,"Matt Guerrier",2061,407825
"Jose Veras","PIT",71,,,,0.1062603,,0.49423394,0.00082372,0.39868204,,,,,,,"Jose Veras",2063,407842
"Jeremy Guthrie","BAL",208,0.26186131,,0.00729927,,,0.35553528,0.17518248,0.09519465,,,0.10492701,,,,"Jeremy Guthrie",2072,425386
