Name,Team,IP,FA-Z,FT-Z,FC-Z,FS-Z,FO-Z,SI-Z,SL-Z,CU-Z,KC-Z,EP-Z,CH-Z,SC-Z,KN-Z,NameASCII,PlayerId,MLBAMID
"Brad Lincoln","PIT",47.2,8.1264707278582,,,,,4.581866141141316,,-5.761036851671007,,,-0.3116091846049517,,,"Brad Lincoln",4241,453184
"Micah Owings","ARI",63,5.790205841692387,,5.12649473209971,,,4.9928570701962425,1.0421969962842537,,,,3.1675806353169103,,,"Micah Owings",4253,452249
"David Huff","CLE",50.2,10.166447639465332,,5.633181832053444,,,9.69534609752631,0.4183333184983995,-3.965810827306799,,,8.724632245652815,,,"David Huff",4257,453307
"David Hernandez","ARI",69.1,9.891942133834213,,,,,7.243333362397694,,-0.9836263691549336,,,5.193714250837053,,,"David Hernandez",4259,456696
"Mark Melancon","HOU",74.1,7.874824686253325,,7.5504163953993055,7.084285627092634,,4.899583180745442,,,-6.111966552734375,,,,,"Mark Melancon",4264,453343
"Nick Blackburn","MIN",148.1,7.598679452572229,,5.69705182555094,,,5.769460928845088,,-4.388274853983626,,,4.944103298940919,,,"Nick Blackburn",4270,448147
"Matt Albers","BOS",64.2,8.507999420166016,,,,,4.842768376048018,1.3725391734730115,-2.512500047683716,,,3.3760002136230467,,,"Matt Albers",4300,458006
"Tyler Chatwood","LAA",142,10.238075537924606,,,,,8.268046699937925,3.1525713784354075,-5.617459164852161,,,7.742208378446614,,,"Tyler Chatwood",4338,543022
"Lance Cormier","LAD",13.2,,,3.4260947323409763,,,5.666341642054116,,-7.398947197094298,,,,,,"Lance Cormier",4346,433578
"Kyle Drabek","TOR",78.2,9.437752712978407,,6.2028891330295135,,,6.6989376253123645,1.0145455273714932,-3.823919937133789,,,4.07371221889149,,,"Kyle Drabek",4359,475138
"Craig Breslow","OAK",59.1,10.224510170884367,,,,,5.398181915283203,2.6692306648971686,-3.581249952316284,,,8.181621654613599,,,"Craig Breslow",4363,444520
"Joe Saunders","ARI",212,9.31899641577061,,,,,5.56294317685956,2.19493006993007,-3.429622549380896,,,5.893758407491722,,,"Joe Saunders",4366,434578
"Jeremy Hellickson","TBR",189,9.7534898054371,,9.783750534057617,,,6.079200032552083,,-3.5967413076577475,,,6.949777252299331,,,"Jeremy Hellickson",4371,476451
"Zach Kroenke","ARI",4,10.166428702218193,,,,,7.872647453756893,0.3836363879117099,,,,7.28000005086263,,,"Zach Kroenke",4383,476127
"Brad Mills","TOR",18.1,9.209745568744207,,3.728285687310355,,,,,-11.754210622687088,,,7.986666361490886,,,"Brad Mills",4420,502166
"Kameron Loe","MIL",72,3.899729960673564,,,2.0899999141693115,,2.263399963378906,-4.43489990234375,,,,4.775000095367432,,,"Kameron Loe",4422,434180
"Jonathon Niese","NYM",157.1,8.995229534308116,,4.113585402325886,,,5.330522679570896,-0.25,-9.052566062454629,,,6.462089424702659,,,"Jonathon Niese",4424,477003
"Michael Bowden","BOS",20,10.836755642361112,,7.87764695111443,6.6579163869222,,12.288888719346788,-0.7333332824707032,,,,,,,"Michael Bowden",4440,476601
"Matt Palmer","LAA",15.2,6.268333435058594,,5.0883331298828125,,,6.282098840784143,,-9.400799560546876,,,3.0481250286102295,,,"Matt Palmer",4457,461212
"Jordan Zimmermann","WSN",161.1,8.059431949435318,,,,,4.897391277810802,2.7024914170631487,-5.851596297969259,,,5.151428767613003,,,"Jordan Zimmermann",4505,519455
"Randy Wells","CHC",135.1,8.889999808517157,,7.281571967112446,,,5.87435546875,2.1216026371360845,-1.3491357873987269,,,4.67249413359937,,,"Randy Wells",4535,448694
"Jason Hammel","COL",170.1,7.70640779758597,,,,,6.694672165952657,-1.5973477126712676,-6.724266052246094,,,3.970827532486177,,,"Jason Hammel",4538,434628
"Daniel Herrera","- - -",9.2,3.864444308810764,,,,,0.9712962751035337,-3.63527774810791,,,,,-5.405652087667714,,"Daniel Herrera",4552,502609
"Zach Braddock","MIL",17.1,11.192127417165336,,,,,,-1.231756777376742,,,,7.097999572753906,,,"Zach Braddock",4553,488722
"Josh Johnson","FLA",60.1,8.934655940109604,,,,,8.004999934016046,1.07464599609375,-5.7211108737521705,,,5.107625198364258,,,"Josh Johnson",4567,435178
"Ramon Pena","CHW",20.1,7.921014315840127,,,,,7.121052631578947,3.9936362526633524,,,,5.641355870133739,,,"Ramon Pena",4573,430963
"Clay Hensley","FLA",67.2,,,,,,6.4586181640625,-0.26014388379433173,-7.409217370074728,,,2.7382320172220305,,,"Clay Hensley",4593,454535
"Matt Lindstrom","COL",54,7.311763125712386,,,,,4.381275410554847,-2.658285833864796,,,,5.092856997535343,,,"Matt Lindstrom",4604,434637
"Joe Thatcher","SDP",10,1.9733083624588816,,1.1361538813664362,,,,0.2732352929956773,,,,,,,"Joe Thatcher",4620,491159
"Dave Bush","TEX",37.1,7.212047426719365,,2.237910484200093,,,5.394295302013423,,-7.947132559383617,,,3.8413793629613417,,,"Dave Bush",4635,433657
"Brandon McCarthy","OAK",170.2,,,6.992202729044834,2.843437433242798,,4.784563148934736,,-4.447146174222103,,,,,,"Brandon McCarthy",4662,435221
"Sam LeCure","CIN",77.2,9.574442034390703,,,,,5.943348482040102,0.8803566448828753,,-4.826543078010465,,2.495731679404654,,,"Sam LeCure",4664,459967
"Charlie Morton","PIT",171.2,5.222872253850842,,3.2112498813205295,0.43987728189105635,,1.2742849105668437,,-6.5983739908129175,,,,,,"Charlie Morton",4676,450203
"Pat Neshek","SDP",24.2,,,,,,1.1963461362398589,0.5299999839381168,,,,2.790666707356771,,,"Pat Neshek",4682,450212
"Jeff Francis","KCR",183,9.809157843338816,,,,,7.934213860788008,2.6500000953674316,-4.607328527113971,,,3.584397660566298,,,"Jeff Francis",4684,433585
"Ramon Troncoso","LAD",22.2,7,,,,,4.700818425958807,2.4227420437720513,-5.1406977453897165,,,,,,"Ramon Troncoso",4685,470462
"Jose Arredondo","CIN",53,11.024058279679648,,,4.110573537726151,,,2.628823974609375,,,,,,,"Jose Arredondo",4722,461766
"Matt Cain","SFG",221.2,8.602387248484014,,,,,5.365757797703599,2.0238970588235294,-4.405560549064602,,,2.3396488049357234,,,"Matt Cain",4732,430912
"Sergio Santos","CHW",63.1,8.708981759207589,,6.107500076293945,,,4.564285823277065,-1.64814694925619,,,,3.913793103448276,,,"Sergio Santos",4734,435045
"Jonathan Broxton","LAD",12.2,8.487204300729852,,8.033332824707031,,,5.4413002014160154,-0.10751515446287213,,,,3.2049999237060547,,,"Jonathan Broxton",4759,455009
"Scott Mathieson","PHI",5,10.879615196814903,,,,,,2.569166660308838,-2.475,,,4.40749994913737,,,"Scott Mathieson",4771,455949
"Félix Hernández","SEA",233.2,6.901032544401426,,6.847179706280048,,,3.4823105075348044,-2.5189333089192707,-8.685114767699115,,,-0.08702020934133818,,,"Felix Hernandez",4772,433587
"Vinnie Pestano","CLE",62,6.669788372120468,,,,,1.577520701510847,-2.9286224988042093,,,,,,,"Vinnie Pestano",4782,502260
"Matt Capps","MIN",65.2,7.74184938826651,,,,,6.614013671875,2.5118784193175934,,,,4.644062519073486,,,"Matt Capps",4788,448165
"Rich Hill","BOS",8,,,,,,2.8759374618530273,,-4.766428733358578,,,,,,"Rich Hill",4806,448179
"Jesse Crain","CHW",65.1,11.257731836797907,,,,,7.686000061035156,0.7011296025028935,-10.085555465133101,,,4.938210577713816,,,"Jesse Crain",4817,430884
"Clay Rapada","BAL",16.1,4.646666726948302,,,,,-0.8441428593226842,3.2558646524759163,,,,2.066666603088379,,,"Clay Rapada",4831,449060
"Kyle McClellan","STL",141.2,7.395297115796233,,,,,6.675401098934221,1.9604023023583423,-9.178600359812341,,,5.061508349200201,,,"Kyle McClellan",4845,449072
"Joe Blanton","PHI",41.1,9.369999821980795,,5.302092973576036,,,8.369559231926413,2.1297334162394206,-5.0628817283501055,,,5.8502680744443625,,,"Joe Blanton",4849,430599
"Chuck James","MIN",10.1,11.402857730263158,,,,,10.31800028483073,4.900000058687651,,,,7.191489361702128,,,"Chuck James",4886,460580
"Peter Moylan","ATL",8.1,,,,,,-2.598919017894848,-2.8540000221946022,,,,-1.8719999313354492,,,"Peter Moylan",4891,493247
"Scott Kazmir","LAA",1.2,,,,,,13.660714285714286,9.478888617621529,,,,7.283333460489909,,,"Scott Kazmir",4897,431148
"Jarrod Parker","ARI",5.2,11.044615525465746,,,,,9.02333351417824,-0.8214285714285714,-7.114999771118164,,,4.16090913252397,,,"Jarrod Parker",4913,519105
