Name,Team,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,NameASCII,PlayerId,MLBAMID
"Damaso Marte","CHW",0.50713502,92.06542056,0.44895719,81.71428571,,,,,0.04390779,82.2,,,,,0.06850716,"Damaso Marte",247,150122
"Rick Reed","MIN",0.69506219,88.14108426,0.05314738,79.0952381,,,0.15868828,74.76190476,0.09310215,77.54822335,,,,,0.06781448,"Rick Reed",750,120999
"Jeff Suppan","KCR",0.70401494,88.86670354,0.06100218,80.98461538,,,0.09586057,73.9375,0.13912232,79.36220472,,,,,0.06761463,"Jeff Suppan",633,122987
"Byung-Hyun Kim","ARI",0.58451817,89.65309735,0.34992101,80.59130435,,,,,0.06556082,78.92207792,,,,,0.06705969,"Byung-Hyun Kim",61,218294
"Jeremy Hill","KCR",0.82035928,95.49230769,0.17964072,81.88235294,,,,,,,,,,,0.06703911,"Jeremy Hill",1607,150204
"Billy Wagner","HOU",0.81166348,95.62371889,0.18068834,86.84662577,,,0.00764818,84.57142857,,,,,,,0.06690455,"Billy Wagner",578,123790
"C.J. Nitkowski","TEX",0.66222222,90.55737705,0.14666667,81.33333333,,,0.12,72.61538462,0.07111111,78.4,,,,,0.06639004,"C.J. Nitkowski",570,119809
"Ismael Valdez","- - -",0.61744481,87.91006098,0.12450235,81.2614841,,,0.15056098,76.50558659,0.10749186,80.17322835,,,,,0.06623859,"Ismael Valdez",1283,123595
"Jamie Moyer","SEA",0.46445203,82.77316602,,,,,0.18938218,74.61607143,0.34616579,75.60549451,,,,,0.06556426,"Jamie Moyer",1091,119469
"Jesus Sanchez","CHC",0.76344086,89.78021978,0.16129032,81.33333333,,,,,0.07526882,81,,,,,0.06532663,"Jesus Sanchez",1476,133260
"Felix Heredia","TOR",0.68205128,89.70621469,0.17307692,82.60606061,,,0.06666667,79,0.07820513,78.25,,,,,0.0647482,"Felix Heredia",1304,115803
"Tony Fiore","MIN",0.54025583,86.46712803,,,,,0.22648608,75.61061947,0.23325809,74.05204461,,,,,0.06474314,"Tony Fiore",726,150106
"Rick Helling","ARI",0.62829828,86.0014881,0.11548757,83.33695652,,,0.20917782,76.01659751,0.04703633,78.62,,,,,0.06406586,"Rick Helling",58,115727
"Josh Fogg","PIT",0.51843818,88.08324084,0.31670282,78.86818182,,,,,0.164859,80.52034884,,,,,0.06332543,"Josh Fogg",989,150319
"Steve Sparks","DET",0.15376605,78.93059126,0.03262756,73.25,,,,,,,,,0.81360639,67.85210084,0.06308943,"Steve Sparks",499,122562
"Brian Tollberg","SDP",0.65528282,83.65281899,0.00320171,80,,,0.24332978,67.39285714,0.0981857,76.45614035,,,,,0.063,"Brian Tollberg",1055,328092
"Chad Zerbe","SFG",0.78184282,87.49859944,0.05149051,82.76,,,0.10433604,74.60714286,0.06233062,74.94871795,,,,,0.06226175,"Chad Zerbe",1140,345792
"Kyle Lohse","MIN",0.63093962,90.75053763,0.14362272,83.15044248,,,0.14326545,76.64465409,0.0821722,82.23786408,,,,,0.06199732,"Kyle Lohse",739,346798
"Michael Tejera","FLA",0.55232029,88.65621735,0.0300273,79.43589744,,,0.24294813,73.76629213,0.17470428,78.78186969,,,,,0.06188647,"Michael Tejera",542,150373
"Ricky Stone","HOU",0.64646465,87.9394958,0.18013468,81.58988764,,,,,0.17340067,80.1011236,,,,,0.06161137,"Ricky Stone",576,150392
"Steve Parris","TOR",0.71908272,86.14749263,0.05077805,76.11538462,,,0.15970516,70.02439024,0.07043407,80.5,,,,,0.06149116,"Steve Parris",1316,120247
"Mike James","COL",0.7202381,89.95714286,,,,,0.19047619,79.08333333,0.08928571,81.88888889,,,,,0.06145251,"Mike James",1453,116480
"Lou Pote","ANA",0.54758801,88.69972452,,,,,0.35071708,75.56097561,0.07170795,81.42307692,0.02998696,71.86956522,,,0.06119951,"Lou Pote",30,150010
"Lee Gardner","TBD",0.69264069,84.23076923,,,,,0.27272727,73.42553191,0.03463203,53,,,,,0.06097561,"Lee Gardner",1448,421104
"Al Reyes","PIT",0.54924242,91.05691057,0.27651515,82.11111111,,,,,0.17424242,82.28571429,,,,,0.06049822,"Al Reyes",1005,121099
"Travis Harper","TBD",0.7244152,88.68880689,0.01461988,81.06666667,,,0.22807018,75.76190476,0.03289474,77.65853659,,,,,0.06043956,"Travis Harper",1211,150135
"Brian Anderson","ARI",0.62379863,87.55492958,0.14965675,78.25384615,,,,,0.22654462,77.81094527,,,,,0.06021505,"Brian Anderson",44,110230
"Toby Borland","FLA",0.74429224,89.77631579,0.21461187,77.02325581,,,,,0.04109589,80.14285714,,,,,0.06008584,"Toby Borland",511,111241
"Jose Acevedo","CIN",0.64464692,91.04605263,,,,,0.29157175,80.2173913,0.06378132,82.35,,,,,0.05995717,"Jose Acevedo",307,406895
"Mark Corey","- - -",0.72052402,91.10181818,,,,,0.18122271,75.37837838,0.09825328,79.25,,,,,0.05954825,"Mark Corey",870,407579
"Mike Timlin","- - -",0.91868512,91.51818182,0.01816609,85.4375,,,0.00865052,83.75,,,0.05449827,86,,,0.05939788,"Mike Timlin",1187,123348
"Rick Bauer","BAL",0.71710008,90.44535073,0.23404255,81,,,,,0.04885737,81.16216216,,,,,0.05930319,"Rick Bauer",125,407400
"Jeff Tam","OAK",0.72302738,89.29589041,0.14975845,83.20731707,,,,,0.0805153,81.69444444,0.04669887,83.66666667,,,0.05909091,"Jeff Tam",940,134641
"Doug Creek","- - -",0.64856557,91.046875,0.29405738,79.32110092,,,,,0.05737705,80.11428571,,,,,0.05882353,"Doug Creek",1202,150034
"Luis Vizcaino","MIL",0.62904564,93.68133803,0.3186722,84.40625,,,,,0.03319502,80.88,0.01908714,81,,,0.05859375,"Luis Vizcaino",714,150430
"Dave Burba","- - -",0.74000878,86.8518024,,,,,0.11945542,78.12704918,0.09969258,79.75943396,0.04084321,78.10526316,,,0.05831266,"Dave Burba",1239,111692
"Jose Silva","CIN",0.66873065,90.10240964,,,,,0.27863777,75,0.05263158,79.6,,,,,0.05830904,"Jose Silva",354,122231
"A.J. Burnett","FLA",0.69788618,94.45653574,,,,,0.25105691,79.01238938,0.05105691,81.59433962,,,,,0.05819296,"A.J. Burnett",512,150359
"Pat Mahomes","CHC",0.61594203,87.97826087,0.13405797,83.66176471,,,0.19565217,76.43617021,0.05434783,79.65384615,,,,,0.05802048,"Pat Mahomes",291,118163
"Mike Koplove","ARI",0.6591716,87.73571429,0.22011834,75.98089172,,,,,0.12071006,77.79545455,,,,,0.05797101,"Mike Koplove",63,407377
"Brian Lawrence","SDP",0.52991453,84.81030043,0.34495726,78.05698779,,,,,0.12512821,79.50220264,,,,,0.05797101,"Brian Lawrence",1045,400147
"Julio Santana","DET",0.81142857,94.27441077,0.15428571,84.42105263,,,,,0.03428571,83.92592593,,,,,0.05711207,"Julio Santana",496,121690
"Dennys Reyes","- - -",0.61045655,87.6796875,0.27466863,81.84931507,,,,,0.11487482,80.59310345,,,,,0.05628909,"Dennys Reyes",444,121096
"Rodrigo Lopez","BAL",0.62788223,90.09868421,0.25363604,82.62343096,,,0.04114934,45.38709677,0.07733239,83.30434783,,,,,0.05624372,"Rodrigo Lopez",150,150438
"Gary Glover","CHW",0.66343937,89.26492537,0.15952052,81.95528455,,,0.10696173,73.60655738,0.07007838,79.88095238,,,,,0.05613577,"Gary Glover",234,150474
"Jesse Orosco","LAD",0.45205479,85.28901734,0.54794521,77.77348066,,,,,,,,,,,0.05603448,"Jesse Orosco",667,120051
"Billy Koch","OAK",0.9218134,92.98630137,0.0348226,89.95454545,,,0.04336399,79.24,,,,,,,0.05583127,"Billy Koch",924,150477
"Randy Choate","NYY",0.71067416,85.5257732,0.21910112,68.25,,,,,0.07022472,76.95652174,,,,,0.05570292,"Randy Choate",813,329092
"Matt Mantei","ARI",0.70283019,92.525,0.29716981,84.58252427,,,,,,,,,,,0.05567929,"Matt Mantei",64,118256
"Roger Clemens","NYY",0.67383639,92.86001436,0.09661495,82.61658031,,,,,0.02221439,85.4,0.20733427,87.28479657,,,0.05561106,"Roger Clemens",815,112388
"Paul Shuey","- - -",0.70614828,91.98497496,,,,,0.14556962,77.00787402,,,0.1482821,87.75,,,0.05550811,"Paul Shuey",406,122201
"Rob Bell","TEX",0.55023287,87.38115942,0.0259481,80.19444444,,,0.13107119,76.86549708,0.29274784,80.69010417,,,,,0.05531113,"Rob Bell",1492,150174
"Mark Mulder","OAK",0.56947368,89.1824,0.08175439,82.80952381,,,0.16105263,69.89017341,0.14947368,79.64673913,0.03824561,84.04040404,,,0.0540989,"Mark Mulder",932,150426
"Matt Clement","CHC",0.57296417,91.44819466,0.38957655,83.79668508,,,,,0.03745928,83.39361702,,,,,0.05363748,"Matt Clement",271,136725
"Kelvim Escobar","TOR",0.67475728,93.06852248,,,,,0.12055016,79.3877551,0.05744337,83.76,0.14724919,84.58252427,,,0.05287356,"Kelvim Escobar",1298,113898
"Travis Phelps","TBD",0.69984917,87.97770701,,,,,0.24886878,77.39814815,0.05128205,80.66666667,,,,,0.05285714,"Travis Phelps",1221,400127
"Chad Paronto","CLE",0.68880455,90.32587859,0.24667932,83.23636364,,,0.0056926,79.33333333,0.05882353,82.75,,,,,0.05215827,"Chad Paronto",399,406301
"Valerio De Los Santos","MIL",0.87574671,91.59176672,0.04659498,85.39393939,,,,,0.0776583,84.52542373,,,,,0.05209513,"Valerio De Los Santos",681,136304
"Shigetoshi Hasegawa","SEA",0.55620723,87.43283582,0.27956989,81.48594378,,,,,0.08699902,81.34177215,0.07722385,83.7260274,,,0.05189991,"Shigetoshi Hasegawa",1082,115586
"Trevor Hoffman","SDP",0.69230769,84.65914221,0.04970414,72.03571429,,,0.02366864,77.125,0.23431953,74.02739726,,,,,0.05162738,"Trevor Hoffman",1035,116034
"Johan Santana","MIN",0.58352403,90.78728923,0.26830664,80.11568123,,,,,0.14816934,77.92272727,,,,,0.05103149,"Johan Santana",755,276371
"Kelly Wunsch","CHW",0.445629,83.79775281,0.36673774,77.03378378,,,,,0.18763326,77.3452381,,,,,0.05060729,"Kelly Wunsch",259,279823
"Kevin Brown","LAD",0.81425703,91.29639175,0.18574297,84.60344828,,,,,,,,,,,0.05052431,"Kevin Brown",642,111554
"Wade Miller","HOU",0.69369369,92.46501767,0.08804259,86.61325967,,,0.18140868,78.25848564,0.03685504,84.34883721,,,,,0.05017503,"Wade Miller",568,150063
"Robb Nen","SFG",0.73549001,89.27491961,0.26450999,85.8317757,,,,,,,,,,,0.04972875,"Robb Nen",1123,119718
"Steve Reed","- - -",0.57471264,85.05755396,0.32288401,74.63855422,,,,,0.10240334,76.34177215,,,,,0.04965243,"Steve Reed",1053,121002
"Armando Almanza","FLA",0.72611465,92.49614396,,,,,0.22929936,74.26515152,0.04458599,82.32258065,,,,,0.0496368,"Armando Almanza",507,150355
"Eric Gagne","LAD",0.693086,93.83738602,0.05227656,84.92156863,,,0.03456998,64.03333333,0.21838111,85.61403509,0.00168634,86,,,0.0489174,"Eric Gagne",650,150378
"Mike Fyhrie","OAK",0.6722365,87.70550847,0.07455013,83.05555556,,,0.11053985,70.78666667,0.14267352,79.6728972,,,,,0.04889976,"Mike Fyhrie",1447,114499
"Luis Pineda","CIN",0.7323689,93.78040541,0.04339964,85.13636364,,,0.22423146,77.84782609,,,,,,,0.04819277,"Luis Pineda",346,400079
"Antonio Alfonseca","CHC",0.80952381,94.00713267,0.11601732,86.55963303,,,,,0.03636364,84.13888889,0.03809524,88.29268293,,,0.04781533,"Antonio Alfonseca",260,110134
"Alan Embree","- - -",0.79123173,94.45608108,0.20876827,77.83846154,,,,,,,,,,,0.04771372,"Alan Embree",1030,113833
"Carlos Hernández","HOU",0.68275488,88.92967033,0.04663774,83.26315789,,,0.17624729,72.87937743,0.09436009,79.55319149,,,,,0.04752066,"Carlos Hernandez",560,400056
"Kevin Beirne","LAD",0.71784232,89.09509202,0.04356846,85.84210526,,,0.19294606,72.86666667,0.04564315,80.47368421,,,,,0.04743083,"Kevin Beirne",638,150312
"Mariano Rivera","NYY",0.98540146,93.20104439,0.01459854,79,,,,,,,,,,,0.0472879,"Mariano Rivera",844,121250
"Dan Wright","CHW",0.64066667,90.59249506,0.006,80,,,0.234,81.01401051,0.11933333,81.25259516,,,,,0.04701398,"Dan Wright",258,216106
"Travis Miller","MIN",0.7704918,87.74358974,0.2295082,82,,,,,,,,,,,0.046875,"Travis Miller",742,119124
"Russ Ortiz","SFG",0.72581585,89.6798419,0.02097902,82.05882353,,,0.17744755,76.59897172,0.07575758,80.15204678,,,,,0.04640178,"Russ Ortiz",1124,133460
"Curt Schilling","ARI",0.55211268,92.74060382,0.12647887,85.60104987,,,0.05521127,75.47904192,0.04197183,83.37777778,0.22422535,85.32309942,,,0.04621171,"Curt Schilling",73,121811
