Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,NameASCII,PlayerId,MLBAMID
"Mike Morgan","ARI",0.15706806,0.70676692,0.47702407,0.6,0.94680851,0.89908257,0.58205689,0.58974359,0.04772234,0.16052061,0.20824295,"Mike Morgan",67,119374
"Jose Silva","CIN",0.15972222,0.74468085,0.49096386,0.47826087,0.92142857,0.85889571,0.56626506,0.51485149,0.06705539,0.13994169,0.20699708,"Jose Silva",354,122231
"Chris George","KCR",0.18055556,0.7037037,0.47119342,0.61538462,0.91578947,0.86462882,0.55555556,0.51612903,0.06378601,0.14197531,0.20576132,"Chris George",601,150203
"Matt Anderson","DET",0.13829787,0.78512397,0.50232558,0.38461538,0.88421053,0.82407407,0.5627907,0.51724138,0.08675799,0.11872146,0.20547945,"Matt Anderson",459,150183
"David Pember","MIL",0.15384615,0.79411765,0.45205479,0.33333333,0.85185185,0.75757576,0.46575342,0.45,0.10958904,0.09589041,0.20547945,"David Pember",1618,424926
"Jeff Farnsworth","DET",0.15322581,0.73333333,0.46716004,0.75,0.90675991,0.88316832,0.54116559,0.54380665,0.05405405,0.15045045,0.2045045,"Jeff Farnsworth",465,407906
"Jimmy Anderson","PIT",0.16588124,0.72913118,0.46174497,0.57954545,0.9182243,0.86046512,0.52527964,0.5408805,0.06497552,0.13618158,0.2011571,"Jimmy Anderson",977,150247
"Carlos Silva","PHI",0.19266055,0.78561354,0.52791069,0.61904762,0.87791741,0.83685801,0.56539075,0.60285714,0.08457322,0.11589663,0.20046985,"Carlos Silva",973,400067
"Fernando Rodney","DET",0.18300654,0.8,0.52478134,0.60714286,0.84210526,0.80555556,0.55393586,0.48314607,0.10144928,0.09855072,0.2,"Fernando Rodney",494,407845
"Jose Nunez","SDP",0,0.625,0.33333333,,1,1,0.53333333,0.25,0,0.2,0.2,"Jose Nunez",1410,400308
"Bryan Corey","LAD",0,0.83333333,0.5,,0.8,0.8,0.6,1,0.1,0.1,0.2,"Bryan Corey",1439,132241
"Dustin Hermanson","BOS",0.1409396,0.77578475,0.52150538,0.57142857,0.91907514,0.8814433,0.59946237,0.6635514,0.06182796,0.13709677,0.19892473,"Dustin Hermanson",195,115812
"Josh Pearce","STL",0.17647059,0.7260274,0.5,0.72222222,0.94339623,0.91129032,0.58870968,0.63636364,0.04435484,0.15322581,0.19758065,"Josh Pearce",1175,407870
"Bryan Rekar","KCR",0.1884058,0.75324675,0.48630137,0.61538462,0.9137931,0.85915493,0.52739726,0.44736842,0.06802721,0.1292517,0.19727891,"Bryan Rekar",625,121057
"Jaret Wright","CLE",0.1106383,0.73931624,0.42430704,0.53846154,0.90751445,0.85929648,0.4989339,0.51724138,0.05970149,0.13646055,0.19616205,"Jaret Wright",415,124605
"Doug Nickle","- - -",0.12080537,0.7133758,0.4248366,0.55555556,0.91964286,0.86923077,0.5130719,0.47777778,0.05555556,0.14052288,0.19607843,"Doug Nickle",963,276518
"Todd Stottlemyre","ARI",0.24875622,0.73529412,0.47169811,0.68,0.928,0.85714286,0.45822102,0.52173913,0.06738544,0.12668464,0.19407008,"Todd Stottlemyre",75,122840
"Ed Vosberg","MON",0.44444444,1,0.51612903,0.66666667,1,0.75,0.12903226,0.25,0.12903226,0.06451613,0.19354839,"Ed Vosberg",1426,123756
"Luis De Los Santos","TBD",0.15789474,0.75167785,0.49429658,0.77777778,0.91964286,0.9,0.56653992,0.64788732,0.04924242,0.14393939,0.19318182,"Luis De Los Santos",1203,150087
