Name,Team,IP,FA-Z,FT-Z,FC-Z,FS-Z,FO-Z,SI-Z,SL-Z,CU-Z,KC-Z,EP-Z,CH-Z,SC-Z,KN-Z,NameASCII,PlayerId,MLBAMID
"Harold Castro","DET",2.2,6.9625987391318045,,,,,,,,,6.164327144622803,,,,"Harold Castro",14691,605612
"Keone Kela","SDP",10.2,11.665758935090537,,,,,,,-4.368215581422211,,,6.268327713012695,,,"Keone Kela",14696,605309
"Anthony Banda","- - -",33.2,9.15754616097228,,2.0038394927978516,,,,-2.4974493980407715,-4.161949433476092,,,3.8998013803087144,,,"Anthony Banda",14706,607455
"Brady Lail","SEA",2,11.816293716430664,,,,,5.995724201202393,6.178819179534912,-3.6058387756347656,,,5.1270701090494795,,,"Brady Lail",14707,621078
"Edwin Díaz","NYM",62.2,6.499764989837399,,,,,7.666724522908528,3.360937370825066,,,,,,,"Edwin Diaz",14710,621242
"Brett Phillips","TBR",1,9.145796402640965,,,,,,,,,,,,,"Brett Phillips",14735,621433
"Paul Blackburn","OAK",38.1,9.378826488148082,,2.9891636137328397,,,6.576036864371687,2.192333459854126,-8.277819530073419,,,4.421351481958763,,,"Paul Blackburn",14739,621112
"Julio Urías","LAD",185.2,10.11621963738864,,,,,9.782238006591797,,-0.31813321223548874,,,4.394474637681159,,,"Julio Urias",14765,628711
"Emilio Pagán","SDP",63.1,10.651361374627976,,2.091847442774381,6.901288032531738,,,,,,,7.528060436248779,,,"Emilio Pagan",14771,641941
"Buck Farmer","DET",35.1,9.201579725081997,,,,,4.3470578874860495,0.628467638468005,,,,2.1565243094308038,,,"Buck Farmer",14814,571656
"Michael Lorenzen","CIN",29,8.976172061366888,,4.184806169782366,,,6.441774541681463,-0.9994857788085938,-8.0397702730619,,,4.769437269731001,,,"Michael Lorenzen",14843,547179
"Joe Mantiply","ARI",39.2,6.745053439670139,,,,,2.9650045798642792,,-1.8243409826400432,,,1.0427051343415912,,,"Joe Mantiply",14857,573009
"Zack Godley","MIL",3.1,6.537350416183472,,4.722417407565647,,,2.09321870803833,,,-4.5865692369865645,,-1.8483552932739258,,,"Zack Godley",14862,643327
"Sam Moll","OAK",10.1,,,,,,2.9172154302182407,0.3020358530680339,,,,,,,"Sam Moll",14874,594580
"Caleb Smith","ARI",113.2,10.647563501099246,,,,,,4.0003805721507355,-3.3022530384552784,,,8.32961072419819,,,"Caleb Smith",14875,592761
"Pat Valaika","BAL",1.1,8.622158686319986,,,,,,,-5.337512016296387,,,,,,"Pat Valaika",14885,642162
"Taylor Williams","- - -",11.2,6.157087906547215,,,,,1.3082235717773438,0.5230192756652832,,,,,,,"Taylor Williams",14899,592865
"Jon Gray","COL",149,6.452518188173157,,,,,,2.1501148926792184,-5.2123573303222654,,,4.611162758813116,,,"Jon Gray",14916,592351
"Reyes Moronta","SFG",4,9.704369795949836,,,,,,1.1970891952514648,,,,4.099084581647601,,,"Reyes Moronta",14966,606625
"Tyler Webb","STL",16.1,10.505747744911595,,,,,10.386790493078399,,-3.965507075471698,,,10.438943105201199,,,"Tyler Webb",14974,643778
"Chad Kuhl","PIT",80.1,8.028406765036387,,,,,5.9312040267452115,1.8207998592687877,,-5.5484141474184785,,3.155562339290496,,,"Chad Kuhl",14975,641771
"Giovanny Gallegos","STL",80.1,10.478060244783691,,,,,,0.5943144011406845,,,,8.864485891241776,,,"Giovanny Gallegos",14986,606149
"Scott Barlow","KCR",74.1,8.235014588155865,,,,,7.518668492635091,-0.5211596076871142,-5.9217898461126515,,,,,,"Scott Barlow",14993,605130
"Yacksel Ríos","- - -",27.1,9.433059127242476,,,2.3469331336743906,,7.845833778381348,1.9267814096096343,,,,,,,"Yacksel Rios",15007,605441
"Kyle Finnegan","WSN",66,9.010845048778553,,,3.826357886904762,,9.113589555789263,4.2098986037234045,,,,,,,"Kyle Finnegan",15009,640448
"Corey Knebel","LAD",25.2,9.781807603507206,,,,,,,,-9.084497326148485,,,,,"Corey Knebel",15010,608349
"Alex Reyes","STL",72.1,10.286141099257506,,,,,8.939724301331795,0.21686917986188617,-11.10530017671131,,,6.14628884644635,,,"Alex Reyes",15015,621052
"Chase De Jong","PIT",43.2,10.699893689029432,,,,,11.766021728515625,0.2752287821336226,-6.872463872523907,,,5.663006252712673,,,"Chase De Jong",15036,608328
"Germán Márquez","COL",180,6.867730034722222,,,,,5.6184480992759145,1.108212610193201,,-1.2591217987297116,,4.357608926707301,,,"German Marquez",15038,608566
"Tim Mayza","TOR",53,9.583063125610352,,,,,5.592558138779118,2.7363066733132846,-4.75140905380249,,,,,,"Tim Mayza",15042,641835
"Lou Trivino","OAK",73.2,8.630130853134984,,5.684330444335938,,,5.874723349787859,-3.086002894810268,-4.3887152671813965,,,0.6713252132886076,,,"Lou Trivino",15043,642152
"Austin Voth","WSN",57.1,10.147932099746125,,4.525428291705015,6.688750584920247,,,,-5.932746235062094,,,,,,"Austin Voth",15047,608723
"Yency Almonte","COL",47.2,6.666713528277635,,,,,4.235270182291667,0.9786000626810482,,,,2.080123387025983,,,"Yency Almonte",15068,622075
"Kyle McGowin","WSN",30,10.46085684640067,,8.243063926696777,,,6.591013782429245,0.21642080852735482,,,,3.0867559909820557,,,"Kyle McGowin",15071,641851
"Hunter Wood","TEX",5,11.608195495605468,,,,,,3.1571265772769324,-8.788177490234375,,,5.5853271484375,,,"Hunter Wood",15091,621056
"Luke Farrell","MIN",24.2,11.03777578253495,,,,,,-0.8426226357944676,-8.605837949117024,,,7.053030120001899,,,"Luke Farrell",15101,608652
"Jimmie Sherfy","- - -",15,8.984878540039062,,,,,,-2.2072393483129042,-3.7830581665039062,,,4.617447853088379,,,"Jimmie Sherfy",15118,642073
"Drew Anderson","TEX",22,10.569854122468795,,,,,,1.0902367444105552,-8.16201624953956,,,5.803288116455078,,,"Drew Anderson",15130,623454
"Jake Newberry","KCR",4.1,10.291399468315973,,,,,,1.1613293427687426,,,,8.21634038289388,,,"Jake Newberry",15136,623470
"Ashton Goudeau","- - -",34.1,9.62251582200923,,,,,,0.32335758209228516,-6.7581181318863575,,,5.6196589316091226,,,"Ashton Goudeau",15139,623485
"Justin Topa","MIL",3.1,,,,,,1.0844614094701306,-0.02560484867829543,,,,,,,"Justin Topa",15145,623437
"Aaron Slegers","LAA",31,8.405959918934812,,,,,3.770481840093085,2.437480886358964,,,,3.432281200702374,,,"Aaron Slegers",15231,642083
"Cody Reed","TBR",9.2,8.483274841308594,,,,,3.1685375213623046,1.7125933560458098,,,,2.7280184427897134,,,"Cody Reed",15232,642003
"Cole Sulser","BAL",63.1,10.653898751713895,,4.338352203369141,,,,2.521708603446365,-4.799741918390447,,,3.513069776078345,,,"Cole Sulser",15256,642121
"Keynan Middleton","SEA",31,10.286782507802926,,,,,,2.345957060280086,,,,3.741924109825721,,,"Keynan Middleton",15264,641871
"Austin Wynns","BAL",1,,,,,,,8.755863825480143,,,8.066728591918945,,,,"Austin Wynns",15271,642851
"Mike Tauchman","SFG",1,11.020386962890624,,,,,,,,,,,,,"Mike Tauchman",15274,643565
"Adam Cimber","- - -",71.2,1.4171693922889916,,,,,-6.123354391855736,1.5067426582359758,,,,,,,"Adam Cimber",15288,643256
"Austin Pruitt","- - -",7.1,8.041971842447916,,,,,,1.2452142806280226,-5.91350970060929,,,4.5083974202473955,,,"Austin Pruitt",15290,643493
"Steven Brault","PIT",27.2,7.155168097636421,,,,,3.45145360974298,-0.12559115091959636,-1.9906204223632813,,,1.5413478958272488,,,"Steven Brault",15291,643230
"Andrew Heaney","- - -",129.2,8.627231751856783,,,,,,-1.4929052614698224,-1.8390309196372219,,,4.4198364671227965,,,"Andrew Heaney",15423,571760
