Name,Team,IP,Pit+ FA,Pit+ SI,Pit+ FC,Pit+ FS,Pit+ SL,Pit+ CU,Pit+ CH,Pit+ KC,Pit+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Scott Alexander","LAD",15.1,,121.29895833333332,,,99.60711111111111,,93.03090909090909,,,108.7720472440945,106.21976377952757,115.1567716535433,"Scott Alexander",10591,518397
"Aroldis Chapman","NYY",56.1,98.48665492957747,173.61017543859646,,141.37081081081084,125.52255639097739,,,,,114.10878,99.93317999999998,114.77076000000002,"Aroldis Chapman",10233,547973
"John Means","BAL",146.2,103.87014336917562,,,,121.82183673469387,-69.22,133.2648264984227,112.25114942528737,,108.71568289530374,108.1640758293839,114.7662128392934,"John Means",16269,607644
"Jordan Romano","TOR",63,115.81252336448598,51.468,,,113.22258575197887,,,,,120.5965597667638,93.20769679300294,114.29414965986396,"Jordan Romano",16122,605447
"Daniel Hudson","- - -",51.2,119.35525423728815,65.96000000000001,,,106.65277108433732,,65.70166666666667,,,113.96950289017344,100.03549132947978,114.08658959537571,"Daniel Hudson",7146,543339
"Nathan Eovaldi","BOS",182.1,111.90732417138237,,129.59097826086955,107.97849056603775,121.36802992518703,105.9241605839416,,,,109.49177960301166,106.70655715263516,113.81062286105406,"Nathan Eovaldi",9132,543135
"Shane McClanahan","TBR",123.1,102.55962453066334,,,,127.60200899550225,123.69253822629969,89.58726114649683,,,111.47461262185737,102.48791174961521,113.63107234479219,"Shane McClanahan",21483,663556
"Andrew Vasquez","LAD",1.2,,80.86,,,117.52833333333335,,,,,128.8711111111111,97.7637037037037,113.45407407407409,"Andrew Vasquez",19482,607755
"Clayton Kershaw","LAD",121.2,107.5817469879518,,,,122.91992998833138,98.8814705882353,61.20727272727272,,,115.76840289371175,95.44129104062324,113.31711741791875,"Clayton Kershaw",2036,477132
"Joe Smith","- - -",39.2,102.62441558441559,127.03813229571986,,,105.45409945171617,,100.42142857142858,,,116.97943673938,103.79926337543056,113.26535407577498,"Joe Smith",3281,501925
"Luis García","STL",33.1,22.609999999999996,116.29676975945017,,112.84000000000002,110.44097222222223,,,,,119.20211576846307,97.61121756487023,113.05261477045903,"Luis Garcia",6984,472610
"Josh Fleming","TBR",104.1,145.74,121.34928859060403,106.49604545454545,,,110.4851948051948,103.37721448467966,,,103.86651623692612,108.7231317924581,112.98134400152716,"Josh Fleming",20418,676596
"Aaron Loup","NYM",56.2,,117.81601851851853,107.72394160583941,,,94.03890909090912,116.955,,,115.26375313761872,102.58157202274846,112.7866738210436,"Aaron Loup",10343,571901
"Ben Rowen","LAA",11.1,65.16400000000002,83.62923076923077,,,140.97274509803924,,,,,102.47757575757576,118.65353535353537,112.70353535353534,"Ben Rowen",10983,594985
"Brandon Dickson","STL",2,73.72,81.87454545454545,,,158.73714285714286,,150.3,,,88.68857142857142,122.99942857142855,112.4777142857143,"Brandon Dickson",6979,505447
"Ryan Yarbrough","TBR",155,105.26227692307691,113.45684210526318,110.45674044265596,,,145.95047985686543,85.29153515064561,,,106.74130384526258,109.7941238431558,112.47037205872387,"Ryan Yarbrough",16502,642232
"Heath Hembree","- - -",58,98.59873684210527,,,,128.25084601941748,49.855999999999995,,,,109.66709166583865,102.5670011371289,112.37836675167533,"Heath Hembree",11632,592390
"Aaron Bummer","CHW",56.1,,103.0472758037225,105.81378378378379,,133.77702127659575,,73.01666666666667,,,124.86469473684207,93.19490526315788,112.11686315789468,"Aaron Bummer",16258,607481
"Tim Mayza","TOR",53,54.18,116.11291181364398,,,102.58438016528923,,,,,107.52773809523812,104.39319047619057,112.01685714285713,"Tim Mayza",15042,641835
"Dylan Coleman","KCR",6.1,114.3990625,86.88000000000001,,,109.4227906976744,,,,,117.70366972477062,96.46532110091742,111.93100917431192,"Dylan Coleman",22276,669395
"Adam Cimber","- - -",71.2,106.7715407854985,131.28920547945205,,,95.42464378446547,,,,,117.43572367004164,99.66722892362459,111.81937410241014,"Adam Cimber",15288,643256
"Brent Suter","MIL",73.1,126.56869762174406,56.11660377358489,,,81.9300014994752,77.96888888888891,72.28275862068966,,,103.7773551993995,106.84923350173774,111.80741024127735,"Brent Suter",13942,608718
"Craig Kimbrel","- - -",59.2,110.36519658119659,,,,,,,114.01376558603492,,119.32762973928777,95.16208395016038,111.68129574800555,"Craig Kimbrel",6655,518886
"Carlos Rodón","CHW",132.2,114.62775729646695,,,,112.07402985074627,98.90368421052632,98.33199999999997,,,111.6596838301716,100.33672990063232,111.65219512195121,"Carlos Rodon",16137,607074
"Garrett Crochet","CHW",54.1,103.9873037542662,,,,136.66070588235294,,82.79666666666665,,,107.19806805708012,102.56302963776069,111.29530186608122,"Garrett Crochet",27463,676979
"Dylan Floro","MIA",64,94.89583081570994,126.9722543352601,,,113.71739644970411,,106.02046511627907,,,108.65402298850574,104.22196286472142,111.28192749778952,"Dylan Floro",13394,571670
"Lucas Sims","CIN",47,107.61321428571434,,,,123.242846975089,101.33487179487179,-3.059999999999983,,,113.43576354679803,101.1825615763547,111.2750492610837,"Lucas Sims",13470,608371
"Walker Buehler","LAD",207.2,108.26452533904354,101.11564102564103,125.71281853281852,,129.43940639269408,,98.77350993377483,94.20634615384613,,112.09000638569604,100.42976372924649,111.24006385696038,"Walker Buehler",19374,621111
"Frankie Montas","OAK",187,104.15794475138122,116.97192083818389,106.5985650224215,116.68488165680478,107.54120879120877,,,,,111.24968511766649,101.87162081537952,111.14346702021876,"Frankie Montas",14309,593423
"Clay Holmes","- - -",70,38.86,112.80936555891239,,,118.03572265625003,89.49055299310619,,,,116.00650205699249,95.9607886672404,111.0362466907212,"Clay Holmes",13649,605280
"Max Fried","ATL",165.2,112.1185435897436,121.40456747404843,,,104.88745519713262,109.85684532924962,101.48145454545455,,,105.68847457627118,106.4154355538038,110.62711076074102,"Max Fried",13743,608331
"David Bednar","PIT",60.2,112.20226487523992,,,112.31979274611398,,105.3636363636364,,,,104.84522483940039,107.5547323340471,110.61573875803,"David Bednar",19569,670280
"A.J. Puk","OAK",13.1,91.75775510204082,116.05433333333332,,,140.88955223880598,117.31666666666668,62.52,,,101.17999999999999,106.56107883817428,110.60680497925313,"A.J. Puk",19343,640462
"Lucas Luetge","NYY",72.1,14.780000000000001,,116.68228791773781,,99.37447050461978,102.02222222222218,,,,107.8648742369928,97.75512341633012,110.46625869551734,"Lucas Luetge",8337,476595
"Luis Castillo","CIN",187.2,100.46215077605322,111.63441176470587,,,112.6528937728938,,117.44176348547717,,,108.13131679389316,102.07896310432565,110.44137404580151,"Luis Castillo",15689,622491
