Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,NameASCII,PlayerId,MLBAMID
"Eddie Bonine","DET",34.1,0.27559055,0.57915058,0.4288499,0.7,0.97333333,0.88636364,0.50487329,,"Eddie Bonine",5890,444382
"Sean Marshall","CHC",85.1,0.27401575,0.60416667,0.45473984,0.6954023,0.87068966,0.82288401,0.54739843,,"Sean Marshall",5905,445156
"Pat Misch","- - -",62.1,0.2731377,0.61030928,0.44935345,0.80991736,0.94256757,0.90407674,0.52262931,,"Pat Misch",5909,435619
"Ryan Sadowski","SFG",28.1,0.20472441,0.54700855,0.36885246,0.59615385,0.90625,0.81666667,0.4795082,,"Ryan Sadowski",5916,455961
"Bob McCrory","BAL",7.1,0.13861386,0.57608696,0.34715026,0.92857143,0.88679245,0.89552239,0.47668394,,"Bob McCrory",5924,455970
"Wesley Wright","HOU",44.2,0.25432099,0.60148515,0.4276885,0.5631068,0.87242798,0.78034682,0.49938195,,"Wesley Wright",5960,449079
"Pedro Viola","CIN",7,0.25454545,0.62962963,0.44036697,0.78571429,0.97058824,0.91666667,0.49541284,,"Pedro Viola",5971,501638
"Jonathan Papelbon","BOS",68,0.34343434,0.65034965,0.49399657,0.70098039,0.83064516,0.78472222,0.49056604,,"Jonathan Papelbon",5975,449097
"Dirk Hayhurst","TOR",22.2,0.23369565,0.5828877,0.4097035,0.76744186,0.87155963,0.84210526,0.50404313,,"Dirk Hayhurst",6010,460602
"Takashi Saito","BOS",55.2,0.25690021,0.54945055,0.41396264,0.67768595,0.84333333,0.79572447,0.53687316,,"Takashi Saito",6021,493416
"Virgil Vasquez","PIT",44.2,0.29444444,0.64492754,0.48191214,0.71698113,0.91011236,0.85522788,0.53488372,,"Virgil Vasquez",6124,446911
"Dusty Hughes","KCR",14,0.28467153,0.61111111,0.41409692,0.58974359,0.8,0.71276596,0.39647577,,"Dusty Hughes",6164,458250
"Logan Kensing","- - -",35.1,0.2,0.6910828,0.45742905,0.80701754,0.89400922,0.87591241,0.52420701,,"Logan Kensing",6166,434137
"Scott Baker","MIN",200,0.33195592,0.70900693,0.5370603,0.69294606,0.85912052,0.8122807,0.54396985,,"Scott Baker",6176,435044
