Name,Team,IP,wFA/C,wFT/C,wFC/C,wFS/C,wFO/C,wSI/C,wSL/C,wCU/C,wKC/C,wEP/C,wCH/C,wSC/C,wKN/C,NameASCII,PlayerId,MLBAMID
"Radhames Liz","BAL",1.1,-12.595539934494916,,,,,-3.8515109568834305,-1.9095148891210556,,,,-13.318323095639547,,,"Radhames Liz",5843,467785
"Jason Motte","STL",56.2,-0.2900314968337053,,1.680918292301457,,,-4.344151020050049,3.81701297538225,-2.0673014305450104,,,,,,"Jason Motte",5861,435400
"Daniel Davidson","LAA",1.2,-1.4668793678283691,,,,,,,-4.49812114238739,,,-6.811048587163289,,,"Daniel Davidson",5869,444360
"Jeff Karstens","PIT",108,-1.2141124123618716,,-1.9194709757963817,,,-0.3394302979014278,0.9147732133367454,-0.48967543702859145,,,-1.020673497230219,,,"Jeff Karstens",5879,444371
"Eddie Bonine","DET",34.1,0.7857055331651982,,,,,-2.213817664555141,-0.380268043026011,-0.7454808188390128,,,1.6980259120464323,,,"Eddie Bonine",5890,444382
"Sean Marshall","CHC",85.1,0.43223264316717785,,,,,-2.2820176545137203,-0.022537562683338425,0.8096812583587982,,,-3.0296341214381473,,,"Sean Marshall",5905,445156
"Pat Misch","- - -",62.1,0.0393505334854126,,,,,-0.7611511301259701,,-0.050934147342894844,,,0.1900948944591707,,,"Pat Misch",5909,435619
"Ryan Sadowski","SFG",28.1,1.1257122363551517,,,,,3.870373566945394,-3.7625762903801747,-1.0026526862177354,,,-1.926717534661293,,,"Ryan Sadowski",5916,455961
"Bob McCrory","BAL",7.1,-4.313257487133296,,,,,-6.968137329699946,-2.5486657252678504,,,,-3.3766290720771344,,,"Bob McCrory",5924,455970
"Wesley Wright","HOU",44.2,-1.7649910666725852,,,,,4.040593653917313,-0.5424085100726969,-3.112051635980606,1.4295260637801215,,-1.7426052401142735,,,"Wesley Wright",5960,449079
"Pedro Viola","CIN",7,-6.539752086003621,,,,,3.3283180203931084,-2.512620176587786,,,,4.676815015929086,,,"Pedro Viola",5971,501638
"Jonathan Papelbon","BOS",68,1.2883504908135597,,,-1.4023938310255697,,1.4710817486047745,0.2552473867261732,,,,,,,"Jonathan Papelbon",5975,449097
"Dirk Hayhurst","TOR",22.2,1.0209475770408725,,,,,-0.9299252077797863,-0.2490614554775295,-1.3729653755823772,,,2.1932482719421387,,,"Dirk Hayhurst",6010,460602
"Takashi Saito","BOS",55.2,0.18727217938374127,,,,,2.070810159047445,-0.7082091951833188,1.0900860442254776,,,,,,"Takashi Saito",6021,493416
"Virgil Vasquez","PIT",44.2,-0.9160017355894432,,,,,-4.9810417493184405,0.6476186654146979,-3.563290238380432,,,-2.5599936920183675,,,"Virgil Vasquez",6124,446911
"Dusty Hughes","KCR",14,-1.6757613614849423,,,,,2.791129281887641,2.7220040559768677,0.915972019235293,,16.620129346847534,-1.6223777223516396,,,"Dusty Hughes",6164,458250
"Logan Kensing","- - -",35.1,-2.4524193482110968,,,,,-1.9364570379257202,-0.6262311688911768,-2.551365727963655,,,-14.249898493289948,,,"Logan Kensing",6166,434137
"Scott Baker","MIN",200,-1.9737458443856455,,,,,1.1345101936892594,0.031963340146747045,,,,-3.3602446601504368,,,"Scott Baker",6176,435044
"Kyle Kendrick","PHI",26.1,7.702289987355471,,3.0678377889875157,,,0.4609449913627223,,,,,1.5702423950036366,,,"Kyle Kendrick",6230,452718
"Billy Sadler","HOU",1.1,-1.215988970719851,,,,,,,5.103521545728048,,,-5.547541379928589,,,"Billy Sadler",6235,452724
"Tom Gorzelanny","- - -",47,1.829474212015076,,,,,-1.4626293213336499,1.2787257234255471,,,,-1.2962893299434497,,,"Tom Gorzelanny",6244,452733
"Aaron Laffey","CLE",121.2,-0.3528582350156935,,,,,-0.4896982216540678,1.7350381811278581,,,,0.08008838238486325,,,"Aaron Laffey",6248,444836
"Trevor Cahill","OAK",178.2,-0.19685932918871565,,,,,-0.9599089477650304,-1.2376517545981485,,-2.067743052898998,,0.7083062980870574,,,"Trevor Cahill",6249,502239
"Greg Burke","SDP",45.2,0.9704290969031198,,,,,-0.019230859319286385,0.4017222726173948,,,,-2.956508443905757,,,"Greg Burke",6282,457566
"Scott Feldman","TEX",189.2,-0.09102994168298485,,2.4638301765217503,,,-0.6166068131361551,,0.1082876147719615,,,-0.35975066126969757,,,"Scott Feldman",6283,444857
"George Sherrill","- - -",69,1.2761143424768617,,1.2314574010130288,,,,1.6958064096836958,,,,,,,"George Sherrill",6291,430941
"Chris Ray","BAL",43.1,-2.966938018798828,,,,,-2.3784818259313645,-1.0560965626002239,-4.233924299478531,,,-0.8920079694603974,,,"Chris Ray",6315,444884
"Esmil Rogers","COL",4,0.2287485127179128,,,,,,-0.09761333465576172,4.023878489221845,,,6.647009402513504,,,"Esmil Rogers",6317,469134
"John Danks","CHW",200.1,-0.7097085208775966,,2.439052066011442,,,0.1113263521602447,,-1.8176716617029958,,,1.1201616608616196,,,"John Danks",6329,433579
"Henry Alberto Rodriguez","OAK",4,1.963146662307998,,,,,-4.848881562550863,-3.5601741075515747,,,,-5.63801129659017,,,"Henry Alberto Rodriguez",6371,469159
"Rafael Rodriguez","LAA",30.2,3.2094297083941377,,,,,-2.6889283995062,-1.661759196666249,,,,-1.8570650707591663,,,"Rafael Rodriguez",6417,444126
"Warner Madrigal","TEX",12.2,-4.594071287857859,,,-0.4034517599003655,,8.195747534434,1.3188507042679132,,,,,,,"Warner Madrigal",6419,444127
