Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Ryan Franklin","STL",4,3,38,62,0,61,6.491806526462506,3.5409853780704577,0.2950821148392048,0.26256983240223464,0.85674157,0.455555555,0.032258064,90.49025114002146,1.9180337464548312,,3.310198620025065,4.218221312148089,0.8060835003852844,"Ryan Franklin",1076,211041
"Brandon Lyon","DET",6,5,3,65,0,78.2,6.521186651494516,3.54661028414614,0.8008474835168704,0.22580645161290322,0.80808081,0.471962616,0.09090909,93.09678216628086,2.8601695839888226,,4.063185485455197,4.191325275925235,0.8051511645317078,"Brandon Lyon",1312,407193
"Scott Downs","TOR",1,3,9,48,0,46.2,8.292857594782017,2.5071429937713074,0.7714286134680947,0.30434782608695654,0.77617329,0.557142857,0.121212121,90.39328158103814,3.0857144538723786,,3.332798057867557,3.146801077037546,0.7967519164085388,"Scott Downs",773,275933
"Bobby Seay","DET",6,3,0,67,0,48.2,6.842470401717681,3.143837752140556,0.5547948974365687,0.2905405405405405,0.69579288,0.369863013,0.044117647,,4.253427547013693,,3.6107827384157956,4.643641231473029,0.7907614707946777,"Bobby Seay",1225,150144
"Brian Duensing","MIN",5,2,0,24,9,84,5.678570654927573,3.3214281189199015,0.7499998978206229,0.29056603773584905,0.74861368,0.454887218,0.066037735,92.24583114495799,3.6428566465573113,,4.132797903917293,4.706006694859548,0.7879862263798714,"Brian Duensing",4064,488846
"Manny Parra","MIL",11,11,0,27,27,140,7.457142857142857,4.95,1.2214285714285715,0.34934497816593885,0.64670139,0.480686695,0.121019108,91.90823514344262,6.364285714285714,,4.87565518787929,4.583504147774407,0.7759087681770325,"Manny Parra",4279,448159
"Matt Daley","COL",1,1,0,57,0,51,9.70588380490229,3.176471063422568,1.0588236878075226,0.2846153846153846,0.71428571,0.335877862,0.083333333,90.4990005493164,4.23529475123009,,3.646103449282133,3.9699598129217946,0.765405535697937,"Matt Daley",7952,457935
"Jose Valverde","HOU",4,2,25,52,0,54,9.333333992663771,3.5000002472489142,0.8333333922021224,0.25925925925925924,0.85714286,0.405797101,0.078125,96.2132318531614,2.333333498165943,,3.5044911954955658,3.856617509667697,0.763224720954895,"Jose Valverde",1726,407878
"Sean Marshall","CHC",3,7,0,55,9,85.1,7.171878633556866,3.3750017099091134,1.0546880343465979,0.30916030534351147,0.73636364,0.488372093,0.136986301,87.77651944724462,4.324220940821052,,4.186928061466013,3.7864911823942218,0.7616532444953918,"Sean Marshall",5905,445156
"David Robertson","NYY",2,1,1,45,0,43.2,12.984740386695213,4.740460776095078,0.8244279610600136,0.32,0.75367647,0.35576923,0.093023255,91.91255187988281,3.2977118442400544,,3.0512822059156384,3.1531324240166225,0.7517227530479431,"David Robertson",8241,502085
"Ramon Pena","- - -",6,5,2,72,0,70,7.071430883602976,2.5714294122192642,0.9000002942767424,0.32456140350877194,0.70815451,0.456896551,0.097222222,95.60848896696253,3.9857155889398594,,3.7685125502762244,3.818750739199877,0.7405438870191574,"Ramon Pena",4573,430963
"Sean White","SEA",3,2,1,52,0,64.1,3.9170992198211234,2.7979280141579452,0.4196892021236918,0.22596153846153846,0.72271386,0.482926829,0.04109589,93.70853365384616,2.7979280141579452,,3.8587419409397468,4.7421007212072634,0.7286854982376099,"Sean White",5564,457461
"Brandon League","TOR",3,6,0,67,0,74.2,9.160714597726365,2.531250086213864,0.9642857471290911,0.31840796019900497,0.67567568,0.55721393,0.150943396,92.96745300292969,4.580357298863182,,3.579226632872407,3.118174463144533,0.7285692691802979,"Brandon League",3731,434181
"Glen Perkins","MIN",6,7,0,18,17,96.1,4.2041524711082205,2.148789040788646,1.2145329360979304,0.31378299120234604,0.63593005,0.46991404,0.096296296,91.10900397625448,5.885813459551509,,4.664557890511173,4.749873744222374,0.7266692938283086,"Glen Perkins",8041,450282
"Clay Buchholz","BOS",7,4,0,16,16,92,6.652173361390706,3.521738838383315,1.2717390249717526,0.2785714285714286,0.76714801,0.537931034,0.156626506,94.02022818006608,4.206521390291182,,4.69490971375955,4.042265411331439,0.7254593968391418,"Clay Buchholz",3543,453329
