Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,NameASCII,PlayerId,MLBAMID
"Jordan Walden","LAA",39,96.22876918859649,,,,,,84.22976801049619,,,,87.09999593098958,,,"Jordan Walden",3271,477229
"Roberto Hernandez","CLE",14.1,90.7636385830966,,,,,91.36115248426259,82.84193863407258,,,,85.03750101725261,,,"Roberto Hernandez",3273,433584
"Joe Smith","CLE",67,90.09411494377163,,,,,89.05965292841648,79.74666418650794,,,,,,,"Joe Smith",3281,501925
"Nate Adcock","KCR",34.2,91.24271844660194,,,,,91.18412853422619,83.911865234375,,80.38135593220339,,84.44166395399306,,,"Nate Adcock",3282,502264
"Hiroki Kuroda","NYY",219.2,91.28270692567567,,,86.17965367965368,,91.84422492401215,83.63958125623131,76.40119280133929,,,,,,"Hiroki Kuroda",3283,493133
"Aníbal Sánchez","- - -",195.2,91.85622529644269,,91.74615384615385,84.84474522292993,,91.89844358450156,85.58190883190883,78.21103874895485,,,83.20714460100446,,,"Anibal Sanchez",3284,434671
"Hector Noesí","SEA",106.2,92.32487415840956,,,,,92.68661788606296,84.71833001532356,78.21386235303218,,,85.45521386341699,,,"Hector Noesi",3292,456051
"Chris Hatcher","MIA",14.2,93.17697560701438,,,86.56129504788306,,93.704833984375,86.15166829427083,,,,,,,"Chris Hatcher",3299,501822
"Darren O'Day","BAL",67,86.02000363372093,,,,,84.40060114146706,77.54622395833333,,,,,,,"Darren O'Day",3321,503285
"Jairo Asencio","- - -",40.1,92.08813683461335,,,,,92.30724566915761,82.20222077546296,,,,85.66112936174912,,,"Jairo Asencio",3332,446003
"Matt Garza","CHC",103.2,93.49247606019152,,,,,93.53992665242805,84.78454367897727,76.12586431393679,,,85.78107844172297,,,"Matt Garza",3340,490063
"Mitchell Boggs","STL",73.1,95.79091205018939,,,,,95.81430819346289,87.82584269662921,72,,,88.47319990335052,,,"Mitchell Boggs",3344,459939
"Cesár Ramos","TBR",30,91.58888922797308,,,,,91.44834040963886,83.73448444234914,72.08196571225025,,,85.15581636650617,,,"Cesar Ramos",3357,459987
"Ubaldo Jiménez","CLE",176.2,92.30675054112554,,,83.98581968132855,,92.61169815691927,82.68656716417911,76.77522935779817,,,,,,"Ubaldo Jimenez",3374,434622
"Ricky Romero","TOR",181,91.34604251183232,,90.8774177797379,,,90.78330592105263,,76.95529411764706,,,82.97583912037037,,,"Ricky Romero",3403,460069
"Drew Butera","MIN",1,91.10000271267361,,,,,,,,,,82.30000305175781,,,"Drew Butera",3411,460077
"Jeff Mathis","TOR",2,85.36363636363636,,84.22857666015625,,,,,,,,81.64583333333333,,,"Jeff Mathis",3448,425772
"Jonathan Albaladejo","ARI",3,89.6781234741211,,,,,90.1500015258789,,77.60000271267361,,,82.07272616299716,,,"Jonathan Albaladejo",3521,452293
"Danny Duffy","KCR",27.2,95.3729434742647,,,,,93.96666666666667,86.18235150505515,77.1413043478261,,,85.7542372881356,,,"Danny Duffy",3542,518633
"Clay Buchholz","BOS",189.1,92.17073567708333,,89.32867797186933,85.4198717948718,,91.913203125,,77.24229329427084,,,80.11949169303797,,,"Clay Buchholz",3543,453329
"Liam Hendriks","MIN",85.1,90.48354887402088,,,,,89.63758992805755,82.26564002403846,73.07789370888158,,,81.75872705853175,,,"Liam Hendriks",3548,521230
"Clayton Richard","SDP",218.2,91.24676381829732,,,,,90.19217540842648,85.89596156881314,81.0111537964876,,,84.65754745781527,,,"Clayton Richard",3551,453385
"C.J. Wilson","LAA",202.1,91.41673607409382,,89.14166666666667,,,91.70424107142857,84.29545454545455,78.32630643267224,,,85.24488191006601,,,"C.J. Wilson",3580,450351
"David Pauley","- - -",16.2,88.01875305175781,,,,,88.07916259765625,79.4423076923077,74.50909238873106,,,82.91875076293945,,,"David Pauley",3625,456102
"Josh Kinney","SEA",32,89.56666056315105,,,,,91.0145478219697,82.95057613416988,78.48960658482143,,,,,,"Josh Kinney",3638,448337
"Jim Johnson","BAL",68.2,94.03749593098958,,,,,94.21925122036262,,79.84958516270662,,,88.08230919471154,,,"Jim Johnson",3656,462382
"Logan Ondrusek","CIN",54.2,93.10385827850877,,92.17464421948357,,,93.57777622767857,83.81499633789062,79.15676027590091,,,81.61666434151786,,,"Logan Ondrusek",3677,446185
"Brandon League","- - -",72,95.11000162760416,,,86.22481553819445,,95.16938401442307,86.23333108836206,,,,,,,"Brandon League",3731,434181
"Everett Teaford","KCR",61.1,90.38245516134086,,,,,90.20625305175781,86.2563407790493,79.32719341077302,,,83.60190197172619,,,"Everett Teaford",3732,501870
"Felipe Paulino","KCR",37.2,94.91022283380681,,,,,95.15428757440476,86.04161962608381,77.53555772569445,,,86.35918566645408,,,"Felipe Paulino",3777,462956
"Chris Resop","PIT",73.2,92.43709268162394,,,,,93.11471882931473,86.28688524590164,80.93829180743244,,,83.11817885890152,,,"Chris Resop",3799,434592
"Mat Latos","CIN",209.1,92.91186912083937,,92.60354270993837,,,92.19507014142336,84.93004511443662,78.43792244557584,,,83.61387289005475,,,"Mat Latos",3815,502009
"Ricky Nolasco","MIA",191,89.99089635854342,,88.0499979654948,80.80358477870813,,89.86969960016835,83.10406622545582,74.74754258452869,,,,,,"Ricky Nolasco",3830,445060
"Chris Seddon","CLE",34.1,89.99396886777639,,,,,90.22636274857955,81.51900146484375,75.5625,,,81.84467981216756,,,"Chris Seddon",3833,434629
"Zach Duke","WSN",13.2,88.80476306733631,,,,,89.02173913043478,79.67777506510417,74.64666341145833,,,83.39411477481617,,,"Zach Duke",3840,435043
"Gavin Floyd","CHW",168,91.50269396551724,,85.74776127653301,,,91.67934782608695,,79.94004053101504,,,85.73902558117378,,,"Gavin Floyd",3886,425856
"Casey Fien","MIN",35,93.01078212128253,,,,,91.53846153846153,88.12974683544304,78.96757108671171,,,90.0999984741211,,,"Casey Fien",3926,502272
"Joe Martinez","ARI",1,89.4000015258789,,,,,90.13333129882812,,81.5,,,77.9000015258789,,,"Joe Martinez",3935,458155
"Alex Hinshaw","- - -",28.1,91.61363764409418,,,,,,83.79850837365905,75.62115390484149,,,85.80000305175781,,,"Alex Hinshaw",3941,450527
"David Carpenter","- - -",32.1,94.34160257186693,,,,,93.1500015258789,84.9340947931463,,,,85.92499542236328,,,"David Carpenter",3959,502304
"Edward Mujica","- - -",65.1,91.92572857235477,,,86.38582130142404,,91.79448073814655,83.48170582841082,,,,,,,"Edward Mujica",3970,465629
