Name,Team,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,NameASCII,PlayerId,MLBAMID
"Jeremy Fikac","MON",0.45994065,87.24418605,0.21958457,81.30769231,,,0.07418398,78.16666667,0.2462908,80.48780488,,,,,0.21247113,"Jeremy Fikac",1031,407235
"Jim Crowell","PHI",0.75609756,84.84210526,0.04878049,,,,0.14634146,73,0.04878049,,,,,,0.21153846,"Jim Crowell",1928,112881
"Shane Nance","ARI",0.46543779,90.78723404,0.34562212,82.46938776,,,,,0.18894009,81.90322581,,,,,0.21090909,"Shane Nance",1584,424585
"Brooks Kieschnick","MIL",0.6991453,87.89836066,0.06837607,82.15151515,,,0.10769231,74.25581395,0.12478632,77.5483871,,,,,0.20889488,"Brooks Kieschnick",389,117044
"Pedro Liriano","MIL",0.68636364,89.24038462,0.15454545,80.625,,,0.00454545,,0.15454545,83.58333333,,,,,0.20863309,"Pedro Liriano",2119,425538
"Shawn Camp","KCR",0.67193676,89.05801105,0.28194993,80.01935484,,,0.00790514,75.83333333,0.03820817,81.73684211,,,,,0.20855057,"Shawn Camp",1855,425861
"Javier López","COL",0.74953618,85.84859155,0.16326531,75.29310345,,,0.00371058,75,0.08348794,77.71052632,,,,,0.20821114,"Javier Lopez",1663,425657
"Andrew Good","ARI",0.58446602,86.9375,0.02912621,80.64285714,0.00194175,,0.08349515,69.07692308,0.29708738,78.68461538,0.0038835,,,,0.20647149,"Andrew Good",1690,425627
"Al Reyes","STL",0.5,89.52830189,0.24264706,80.04,,,,,0.25735294,80.31818182,,,,,0.20467836,"Al Reyes",1005,121099
"Al Levine","DET",0.62456946,87.69605568,0.25947187,81.75144509,,,,,0.08840413,82.3,0.02755454,83.11111111,,,0.20437956,"Al Levine",20,117722
"Jason Johnson","DET",0.58847078,91.78910977,0.03002402,82.58333333,,,0.26741393,79.6088632,0.11409127,82.17695473,,,,,0.20380952,"Jason Johnson",147,116595
"Joe Roa","MIN",0.55816555,88.55952381,0.21588367,80.93820225,,,0.1196868,75.69565217,0.10626398,80.12790698,,,,,0.20355556,"Joe Roa",969,121258
