Name,Team,IP,Loc+ FA,Loc+ SI,Loc+ FC,Loc+ FS,Loc+ SL,Loc+ CU,Loc+ CH,Loc+ KC,Loc+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Walt Miller","BRO",11,,,,,,,,,,,,,"Walt Miller",1008940,119127
"Whitey Miller","NYG",5,,,,,,,,,,,,,"Whitey Miller",1008941,119091
"Billy Milligan","- - -",58,,,,,,,,,,,,,"Billy Milligan",1008942,119139
"Bob Milliken","BRO",180.1,,,,,,,,,,,,,"Bob Milliken",1008943,119140
"John Milligan","- - -",116.2,,,,,,,,,,,,,"John Milligan",1008945,119137
"Alan Mills","- - -",636,,,,,,,,,,,,,"Alan Mills",1008949,119142
"Art Mills","BSN",45.1,,,,,,,,,,,,,"Art Mills",1008950,119143
"Dick Mills","BOS",3.2,,,,,,,,,,,,,"Dick Mills",1008955,119150
"Howard Mills","SLB",435,,,,,,,,,,,,,"Howard Mills",1008959,119148
"Willie Mills","NYG",16,,,,,,,,,,,,,"Willie Mills",1008961,119152
"Al Milnar","- - -",996.1,,,,,,,,,,,,,"Al Milnar",1008962,119155
"George Milstead","CHC",106,,,,,,,,,,,,,"George Milstead",1008968,119161
"Larry Milton","STL",4,,,,,,,,,,,,,"Larry Milton",1008969,119162
"Mike Mimbs","PHI",264.2,,,,,,,,,,,,,"Mike Mimbs",1008970,119163
"Cotton Minahan","CIN",14,,,,,,,,,,,,,"Cotton Minahan",1008971,119164
"Rudy Minarcin","- - -",170,,,,,,,,,,,,,"Rudy Minarcin",1008972,119165
"Nate Minchey","- - -",64,,,,,,,,,,,,,"Nate Minchey",1008975,119168
"Ray Miner","PHA",1,,,,,,,,,,,,,"Ray Miner",1008976,119169
"Craig Minetto","OAK",145,,,,,,,,,,,,,"Craig Minetto",1008977,119170
"Steve Mingori","- - -",584.2,,,,,,,,,,,,,"Steve Mingori",1008978,119171
"Paul Minner","- - -",1310.1,,,,,,,,,,,,,"Paul Minner",1008980,119173
"Don Minnick","WAS",9.1,,,,,,,,,,,,,"Don Minnick",1008981,119174
"Blas Minor","- - -",225,,,,,,,,,,,,,"Blas Minor",1008982,119175
"Jim Minshall","PIT",5.1,,,,,,,,,,,,,"Jim Minshall",1008985,119177
"Greg Minton","- - -",1130.2,,,,,,,,,,,,,"Greg Minton",1008986,119178
"Steve Mintz","- - -",24.1,,,,,,,,,,,,,"Steve Mintz",1008987,119179
"Gino Minutelli","- - -",40.2,,,,,,,,,,,,,"Gino Minutelli",1008988,119180
"Paul Mirabella","- - -",499.2,,,,,,,,,,,,,"Paul Mirabella",1008989,119181
"Angel Miranda","MIL",363.1,,,,,,,,,,,,,"Angel Miranda",1008990,119183
"Mike Misuraca","MIL",10.1,,,,,,,,,,,,,"Mike Misuraca",1008993,119186
"Bobby Mitchell","- - -",381.2,,,,,,,,,,,,,"Bobby Mitchell",1008994,119201
"Charlie Mitchell","BOS",18,,,,,,,,,,,,,"Charlie Mitchell",1008997,119188
"Clarence Mitchell","- - -",2217,,,,,,,,,,,,,"Clarence Mitchell",1008998,119189
"Craig Mitchell","OAK",12.2,,,,,,,,,,,,,"Craig Mitchell",1008999,119190
"Fred Mitchell","- - -",718.1,,,,,,,,,,,,,"Fred Mitchell",1009001,119191
"John Mitchell","- - -",240,,,,,,,,,,,,,"John Mitchell",1009003,119193
"Larry Mitchell","PHI",12,,,,,,,,,,,,,"Larry Mitchell",1009006,119196
"Monroe Mitchell","WAS",41.2,,,,,,,,,,,,,"Monroe Mitchell",1009008,119199
"Paul Mitchell","- - -",621.1,,,,,,,,,,,,,"Paul Mitchell",1009009,119200
"Roy Mitchell","- - -",675.1,,,,,,,,,,,,,"Roy Mitchell",1009010,119187
"Willie Mitchell","- - -",1632,,,,,,,,,,,,,"Willie Mitchell",1009011,119204
"Vinegar Bend Mizell","- - -",1528.2,,,,,,,,,,,,,"Vinegar Bend Mizell",1009015,119208
"Kevin Mmahat","NYY",7.2,,,,,,,,,,,,,"Kevin Mmahat",1009018,119212
"Mike Modak","CIN",42.1,,,,,,,,,,,,,"Mike Modak",1009020,119214
"Dennis Moeller","- - -",34.1,,,,,,,,,,,,,"Dennis Moeller",1009022,119217
"Joe Moeller","LAD",583.2,,,,,,,,,,,,,"Joe Moeller",1009023,119218
"Ron Moeller","- - -",152.2,,,,,,,,,,,,,"Ron Moeller",1009024,119219
"Samuel Moffet","- - -",303.2,,,,,,,,,,,,,"Samuel Moffet",1009026,119221
"Randy Moffitt","- - -",781.1,,,,,,,,,,,,,"Randy Moffitt",1009027,119222
"Herb Moford","- - -",157.1,,,,,,,,,,,,,"Herb Moford",1009028,119223
