Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,NameASCII,PlayerId,MLBAMID
"Frank Schwindel","CHC",3,0.53333333,0.83333333,0.61904762,0.875,0.9,0.88461538,0.28571429,10.125,"Frank Schwindel",15351,643524
"Tucker Barnhart","- - -",8,0.39215686,0.75,0.49295775,0.9,1,0.94285714,0.28169014,10.08695652,"Tucker Barnhart",10200,571466
"Jake Lamb","LAA",1,0.4,0.66666667,0.5,1,1,1,0.375,10,"Jake Lamb",13329,571875
"Logan Porter","SFG",1,0,0.77777778,0.46666667,,0.71428571,0.71428571,0.6,10,"Logan Porter",20626,682515
"Grae Kessinger","HOU",1,0.25,0.42857143,0.36363636,1,1,1,0.63636364,10,"Grae Kessinger",25813,666197
"David Villar","SFG",1,0,0.5,0.25,,1,1,0.5,9.8,"David Villar",24782,681584
"Will Wilson","CLE",2,0.25,0.7,0.42307692,1,1,1,0.38461538,9.66666667,"Will Wilson",25434,669717
"Chas McCormick","HOU",3,0.07407407,0.59259259,0.33333333,0,1,0.88888889,0.5,9.48717949,"Chas McCormick",19599,676801
"Wil Myers","SDP",3.2,0.23809524,0.86363636,0.55813953,1,0.94736842,0.95833333,0.51162791,9.44444444,"Wil Myers",10047,571976
"Austin Nola","COL",1,0.21428571,0.8,0.51724138,1,1,1,0.51724138,9.41176471,"Austin Nola",15941,543592
"Matt Beaty","SFG",1,0.23076923,0.66666667,0.40909091,0.66666667,1,0.88888889,0.40909091,9.13333333,"Matt Beaty",17710,607461
"Ryan LaMarre","- - -",1.2,0.28571429,0.8,0.58823529,1,1,1,0.58823529,8.66666667,"Ryan LaMarre",10700,534606
"Kevin Cash","HOU",1,0,0.83333333,0.55555556,,1,1,0.66666667,8.5,"Kevin Cash",1593,408211
"Logan Davidson","LAA",1,0,0.25,0.14285714,,1,1,0.57142857,7.72727273,"Logan Davidson",25844,669722
"Josh Wilson","- - -",4,0.06896552,0.64285714,0.35087719,0.5,1,0.95,0.49122807,7.33333333,"Josh Wilson",2102,425543
"Tomás Nido","DET",1.2,0.5,0.6,0.55555556,1,1,1,0.55555556,7.33333333,"Tomas Nido",13755,621512
"Scott Patterson","- - -",4.2,0.13461538,0.64,0.38235294,0.71428571,0.84375,0.82051282,0.49019608,,"Scott Patterson",5,456499
"Jamie Burke","SEA",1,0,0.75,0.5,,0.88888889,0.88888889,0.66666667,,"Jamie Burke",6,406550
"Troy Percival","- - -",97,0.246875,0.60622463,0.43944888,0.71518987,0.85044643,0.81518152,0.53589558,,"Troy Percival",29,120401
"Aaron Sele","NYM",53.2,0.25874126,0.5625,0.40221402,0.83783784,0.91666667,0.88990826,0.47232472,,"Aaron Sele",34,121986
"Scott Spiezio","STL",1,0.09090909,0.77777778,0.4,1,0.71428571,0.75,0.45,,"Scott Spiezio",37,122596
"Jarrod Washburn","- - -",523.1,0.25560416,0.61596766,0.4428834,0.74331551,0.90484003,0.86006522,0.51969538,,"Jarrod Washburn",40,132220
"Matt Wise","- - -",60.2,0.25409836,0.60515021,0.42557652,0.5,0.78014184,0.69458128,0.4884696,,"Matt Wise",42,277184
"Randy Johnson","- - -",336.2,0.29602122,0.64315938,0.48005982,0.59318996,0.86403509,0.78556594,0.53015952,,"Randy Johnson",60,116615
"Byung-Hyun Kim","- - -",118.1,0.20982143,0.56140351,0.40667976,0.65957447,0.825,0.78743961,0.55992141,,"Byung-Hyun Kim",61,218294
"Mike Koplove","CLE",6,0.3,0.69230769,0.45454545,1,1,1,0.39393939,,"Mike Koplove",63,407377
"Mike Myers","- - -",54.1,0.23664122,0.61676647,0.44966443,0.83870968,0.86407767,0.85820896,0.56040268,,"Mike Myers",68,119624
"John Patterson","WSN",31.1,0.11764706,0.65116279,0.41558442,0.75,0.89285714,0.875,0.55844156,,"John Patterson",71,279568
"Curt Schilling","BOS",151,0.31606218,0.62173913,0.4822695,0.83606557,0.88461538,0.87009804,0.54373522,,"Curt Schilling",73,121811
"John Ennis","PHI",7.2,0.24675325,0.68055556,0.45637584,0.52631579,0.81632653,0.73529412,0.48322148,,"John Ennis",85,407795
"Tom Glavine","- - -",263.2,0.22241836,0.61825726,0.37661638,0.74206349,0.91722595,0.85407725,0.38954741,,"Tom Glavine",90,114849
"Greg Maddux","- - -",392,0.29182666,0.61168114,0.47785173,0.77819549,0.90774194,0.87463977,0.58159284,,"Greg Maddux",104,118120
"John Smoltz","- - -",311.2,0.33560924,0.63882979,0.48625793,0.58215962,0.82431307,0.74021739,0.49682875,,"John Smoltz",115,122477
"Rick Bauer","CLE",6,0.2173913,0.58,0.40625,0.7,0.89655172,0.84615385,0.52083333,,"Rick Bauer",125,407400
"Travis Driskill","HOU",6,0.29545455,0.66666667,0.5049505,0.69230769,0.84210526,0.80392157,0.56435644,,"Travis Driskill",134,150344
"Jason Johnson","LAD",29.1,0.26495726,0.5755102,0.42379958,0.67741935,0.94326241,0.86206897,0.51148225,,"Jason Johnson",147,116595
"Jorge Julio","- - -",109.1,0.28366762,0.55826087,0.40769835,0.52020202,0.84423676,0.72061657,0.45168892,,"Jorge Julio",148,406402
"Sidney Ponson","- - -",232,0.21617947,0.6054254,0.42030391,0.81132075,0.9287169,0.9,0.52440996,,"Sidney Ponson",161,132260
"B.J. Ryan","TOR",83,0.21438451,0.64051355,0.4241573,0.69032258,0.82405345,0.7897351,0.49227528,,"B.J. Ryan",168,124805
"Casey Fossum","- - -",121.1,0.24594595,0.59606987,0.43961353,0.50549451,0.87912088,0.78571429,0.5531401,,"Casey Fossum",188,407154
"Pedro Martínez","- - -",181.2,0.28201332,0.61317829,0.4437713,0.67716535,0.8482933,0.79266212,0.48845134,,"Pedro Martinez",200,118377
"Keith Foulke","OAK",31,0.27203065,0.60330579,0.43141153,0.71830986,0.9109589,0.84792627,0.48111332,,"Keith Foulke",231,114342
"Matt Ginter","CLE",21,0.28467153,0.6374269,0.48051948,0.82051282,0.91743119,0.89189189,0.55519481,,"Matt Ginter",233,215197
"Gary Glover","- - -",131.2,0.26287744,0.64652568,0.47020408,0.72972973,0.87616822,0.83854167,0.54040816,,"Gary Glover",234,150474
"Antonio Alfonseca","PHI",49.2,0.3627451,0.59016393,0.44785276,0.67567568,0.83333333,0.75342466,0.37423313,,"Antonio Alfonseca",260,110134
"Joe Borowski","CLE",82.1,0.25706941,0.61809045,0.43964422,0.79,0.87398374,0.84971098,0.50571792,,"Joe Borowski",267,111244
"Tom Gordon","- - -",71.1,0.2601432,0.62693157,0.45068807,0.57798165,0.9084507,0.81679389,0.51949541,,"Tom Gordon",282,114971
"Jon Lieber","- - -",124.2,0.32044199,0.69059406,0.5156658,0.65517241,0.85304659,0.79493671,0.52741514,,"Jon Lieber",287,117758
"Augie Ojeda","ARI",1,,,,,,,,,"Augie Ojeda",297,324432
"Jim Brower","NYY",3.1,,,,,,,,,"Jim Brower",313,150342
"Chris Reitsma","SEA",23.2,0.20833333,0.67241379,0.44444444,0.71428571,0.8034188,0.78289474,0.50877193,,"Chris Reitsma",348,277410
"Scott Williamson","BAL",14.1,0.275,0.60714286,0.41176471,0.27272727,0.82352941,0.60714286,0.41176471,,"Scott Williamson",361,150182
"Chad Paronto","- - -",57.1,0.31990521,0.67948718,0.47275204,0.80740741,0.9009434,0.86455331,0.42506812,,"Chad Paronto",399,406301
"Ricardo Rincon","NYM",4,0.33333333,0.73913043,0.52,0.44444444,0.76470588,0.65384615,0.46,,"Ricardo Rincon",401,121215
"Paul Shuey","BAL",25.2,0.31460674,0.60294118,0.43949045,0.53571429,0.95121951,0.7826087,0.43312102,,"Paul Shuey",406,122201
"Billy Traber","- - -",60,0.26222222,0.63291139,0.45238095,0.72881356,0.88666667,0.84210526,0.51298701,,"Billy Traber",410,407896
"Bob Wickman","- - -",50.1,0.28174603,0.55510204,0.41649899,0.63380282,0.90441176,0.8115942,0.49295775,,"Bob Wickman",413,124233
"Jaret Wright","BAL",10.1,,,,,,,,,"Jaret Wright",415,124605
"Shawn Chacon","- - -",181.2,0.27361963,0.59153005,0.42404654,0.6367713,0.8891455,0.80335366,0.47317388,,"Shawn Chacon",424,276336
"Scott Elarton","- - -",52.1,0.30392157,0.56132075,0.43509615,0.79032258,0.91596639,0.87292818,0.50961538,,"Scott Elarton",426,134003
"Jason Jennings","- - -",187.1,0.23567468,0.60865475,0.42051282,0.58823529,0.9072643,0.81707317,0.4955711,,"Jason Jennings",434,407298
"Todd Jones","DET",103,0.28536585,0.58417508,0.46215139,0.83760684,0.90201729,0.88577586,0.59163347,,"Todd Jones",436,116734
"Kent Mercker","CIN",13.2,0.23148148,0.66037736,0.44392523,0.72,0.88571429,0.84210526,0.4953271,,"Kent Mercker",439,118967
"Victor Santos","- - -",63.1,0.2484472,0.54615385,0.3814433,0.75,0.84507042,0.81081081,0.4467354,,"Victor Santos",446,276343
"Justin Speier","LAA",158,0.2229021,0.62556391,0.43936944,0.62352941,0.84254808,0.79116835,0.53759095,,"Justin Speier",451,133221
"Denny Stark","SEA",11,0.1754386,0.62015504,0.41152263,0.65,0.9125,0.86,0.5308642,,"Denny Stark",452,150128
"John Thomson","KCR",10.2,0.22222222,0.71428571,0.48717949,1,1,1,0.53846154,,"John Thomson",453,123307
"Rick White","- - -",34.2,0.3,0.56578947,0.44852941,0.83333333,0.95348837,0.91803279,0.55882353,,"Rick White",456,124184
"Adam Pettyjohn","CIN",4,0.23529412,0.66666667,0.4137931,0.66666667,0.95833333,0.86111111,0.4137931,,"Adam Pettyjohn",489,282562
"Mark Redman","- - -",86.2,0.28617363,0.59234609,0.43663123,0.70786517,0.94662921,0.8670412,0.49141455,,"Mark Redman",491,150230
"Jamie Walker","BAL",111.2,0.29278351,0.6384083,0.48071496,0.68309859,0.84823848,0.80234834,0.54374412,,"Jamie Walker",502,123828
