Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Joe Boyle","- - -",0.2808219178082192,0.929133858,0.188741721,0.390728476,0.420529801,0.102362204,0.086614173,58,4.512968436146752,871,1269,2140,0.330033,0.3960396,0.27392739,0.15181518,0.54455446,0.30363036,"Joe Boyle",29608,671212
"Louis Coleman","- - -",0.27412587412587414,0.777777777,0.215258855,0.34332425,0.441416893,0.157407407,0.111111111,124,4.033736325559457,1803,2949,4752,0.45539281,0.31291611,0.23169108,0.20106525,0.49533955,0.30359521,"Louis Coleman",9720,488786
"David Riske","- - -",0.2682926829268293,0.859205776,0.207692307,0.366153846,0.426153846,0.120938628,0.110108303,197,3.885318654185359,2771,4778,7549,0.38738739,0.31531532,0.2972973,0.13448535,0.56198347,0.30353118,"David Riske",402,228594
"Brad Hennessey","SFG",0.2897822445561139,1.288782816,0.200833333,0.45,0.349166666,0.095465393,0.105011933,191,4.766173987561139,2364,3609,5973,0.42394822,0.31796117,0.25809061,0.12540453,0.57119741,0.30339806,"Brad Hennessey",3720,430913
"Sugar Ray Marimon","ATL",0.313953488372093,0.842105263,0.195402298,0.367816091,0.436781609,0.078947368,0.078947368,15,5.259741562618296,164,254,418,0.34831461,0.35955056,0.29213483,0.17977528,0.51685393,0.30337079,"Sugar Ray Marimon",6027,516970
"Ryan Dull","- - -",0.26057906458797325,0.747706422,0.191082802,0.346072186,0.46284501,0.14678899,0.133027522,71,3.729573447117244,1057,1825,2882,0.43305439,0.33472803,0.23221757,0.17991632,0.5167364,0.30334728,"Ryan Dull",13974,623430
"Tom Gorzelanny","- - -",0.29977289931869794,1.041392285,0.186351706,0.415073115,0.398575178,0.102539981,0.092191909,466,4.746133796598196,5723,9044,14767,0.39562044,0.34452555,0.25985401,0.17189781,0.52481752,0.30328467,"Tom Gorzelanny",6244,452733
"Stephen Tarpley","- - -",0.38596491228070173,1.361111111,0.285714285,0.411764705,0.302521008,0.111111111,0.222222222,32,6.447762800129122,356,518,874,0.37704918,0.32786885,0.29508197,0.23770492,0.45901639,0.30327869,"Stephen Tarpley",15859,605501
"Miguel Sánchez","MIL",0.2782608695652174,1.486486486,0.233333333,0.458333333,0.308333333,0.216216216,0.189189189,32,7.322035200189934,257,424,681,0.42622951,0.35245902,0.22131148,0.20491803,0.49180328,0.30327869,"Miguel Sanchez",20074,667376
"Brandon Duckworth","- - -",0.3142650253439537,1.073724007,0.218660968,0.404558404,0.376780626,0.117202268,0.115311909,250,5.09049760575538,3208,4652,7860,0.46148508,0.29285219,0.24566273,0.15267176,0.54406662,0.30326162,"Brandon Duckworth",954,346855
