Name,Team,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Bill Fitch","NLG",13.1,,,,,,,,,,,,,"Bill Fitch",1015173,
"Joe Fleet","CAG",4.1,,,,,,,,,,,,,"Joe Fleet",1015176,
"Willis Flournoy","- - -",560.2,,,,,,,,,,,,,"Willis Flournoy",1015178,
"Bill Force","- - -",1018,,,,,,,,,,,,,"Bill Force",1015181,
"Zack Foreman","KCM",108.1,,,,,,,,,,,,,"Zack Foreman",1015185,
"Percy Forest","- - -",173.2,,,,,,,,,,,,,"Percy Forest",1015187,
"Willie Foster","- - -",1499.2,,,,,,,,,,,,,"Willie Foster",1015189,
"Leland Foster","MRM",1.1,,,,,,,,,,,,,"Leland Foster",1015190,
"Bill Freeman","ABC",4.1,,,,,,,,,,,,,"Bill Freeman",1015200,
"(Unknown) Gabe","NLG",2,,,,,,,,,,,,,"(Unknown) Gabe",1015204,
"Jonas Gaines","- - -",511.1,,,,,,,,,,,,,"Jonas Gaines",1015207,
"Cándido Gálvez","- - -",95,,,,,,,,,,,,,"Candido Galvez",1015209,
"William Gamble","COB",5,,,,,,,,,,,,,"William Gamble",1015210,
"Domingo Gámiz","CSE",12.1,,,,,,,,,,,,,"Domingo Gamiz",1015211,
"Judy Gans","NLG",20,,,,,,,,,,,,,"Judy Gans",1015213,
"Angel García","CIC",60.1,,,,,,,,,,,,,"Angel Garcia",1015214,
"Cocaína García","- - -",205.2,,,,,,,,,,,,,"Cocaina Garcia",1015216,
"(Unknown) Gardner","TT",4,,,,,,,,,,,,,"(Unknown) Gardner",1015219,
"Ping Gardner","- - -",623.2,,,,,,,,,,,,,"Ping Gardner",1015220,
"(Unknown) Gardner","CAG",6,,,,,,,,,,,,,"(Unknown) Gardner",1015221,
"(Unknown) Garvin","PS",1.1,,,,,,,,,,,,,"(Unknown) Garvin",1015227,
"Bill Gatewood","- - -",423.1,,,,,,,,,,,,,"Bill Gatewood",1015230,
"(Unknown) Gavin","BE",1,,,,,,,,,,,,,"(Unknown) Gavin",1015232,
"Herbert Gay","- - -",53,,,,,,,,,,,,,"Herbert Gay",1015233,
"John Gibbons","- - -",28.1,,,,,,,,,,,,,"John Gibbons",1015241,
"Walter Gibbons","IC",13,,,,,,,,,,,,,"Walter Gibbons",1015242,
"Josh Gibson","PC",1.2,,,,,,,,,,,,,"Josh Gibson",1015243,
"Paul Gibson","ND",2,,,,,,,,,,,,,"Paul Gibson",1015244,
"Ted Gibson","CAG",5,,,,,,,,,,,,,"Ted Gibson",1015245,
"Henry Gillespie","- - -",128,,,,,,,,,,,,,"Henry Gillespie",1015251,
"Murray Gillispie","- - -",129.2,,,,,,,,,,,,,"Murray Gillispie",1015252,
"Lefty Gilmore","NLG",99.2,,,,,,,,,,,,,"Lefty Gilmore",1015254,
"Alvin Gipson","BBB",257,,,,,,,,,,,,,"Alvin Gipson",1015257,
"Willie Gisentaner","- - -",826.2,,,,,,,,,,,,,"Willie Gisentaner",1015258,
"Carl Glass","- - -",810.1,,,,,,,,,,,,,"Carl Glass",1015262,
"Hubert Glenn","PS",49.1,,,,,,,,,,,,,"Hubert Glenn",1015265,
"Tom Glover","- - -",336.1,,,,,,,,,,,,,"Tom Glover",1015268,
"Manuel Godínez","CIC",68.2,,,,,,,,,,,,,"Manuel Godinez",1015269,
"Walter Goines","MGS",13.2,,,,,,,,,,,,,"Walter Goines",1015270,
"Clyde Golden","NE",64,,,,,,,,,,,,,"Clyde Golden",1015271,
"David Gómez","- - -",371.2,,,,,,,,,,,,,"David Gomez",1015274,
"Sijo Gómez","CSE",63.1,,,,,,,,,,,,,"Sijo Gomez",1015275,
"Herman Gordon","- - -",116.2,,,,,,,,,,,,,"Herman Gordon",1015279,
"Harold Gould","PS",33.1,,,,,,,,,,,,,"Harold Gould",1015281,
"Willie Grace","CBE",4.2,,,,,,,,,,,,,"Willie Grace",1015282,
"Bob Graves","AB2",4.2,,,,,,,,,,,,,"Bob Graves",1015285,
"Willie Gray","DM",38.1,,,,,,,,,,,,,"Willie Gray",1015290,
"Curtis Green","AC",9.1,,,,,,,,,,,,,"Curtis Green",1015292,
"Honey Green","NE",6.1,,,,,,,,,,,,,"Honey Green",1015293,
"Leslie Green","MRS",4.1,,,,,,,,,,,,,"Leslie Green",1015296,
