Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Jesus Tinoco","- - -",3,4,8,100,2,126.2,7.38947507045962,4.263158694495935,1.4921055430735772,0.23372781065088757,0.76866764,0.446629213,0.155555555,95.12454797293394,3.9789481148628725,4.731778695553196,5.244445714967289,4.869881571131776,-0.4577566017396748,"Jesus Tinoco",16300,622786
"Clayton Andrews","- - -",0,1,0,5,0,3.2,12.272732692565238,4.909093077026095,9.81818615405219,0.5384615384615384,0.23809524,0.411764705,0.666666666,94.76739349365235,27.000011923643523,11.45712823940145,17.156086453985445,5.641199689544307,-0.4580899477005005,"Clayton Andrews",23631,677076
"Seth McClung","- - -",26,34,6,177,51,430.1,6.567003129064174,5.312161766822612,1.2757553849455878,0.28217054263565894,0.6920078,0.385951661,0.110108303,94.32010475747643,5.458559925750794,,5.4035424793453135,5.322677384835142,-0.4584344010800123,"Seth McClung",1657,425528
"Rube Henderson","- - -",1,5,0,9,7,65,2.769230708285903,3.876922991600264,0.830769212485771,0.28820960698689957,0.55220884,,,,4.984615274914625,,5.382516063261315,,-0.45913395285606384,"Rube Henderson",1015417,
"Bob Spicer","KCA",0,0,0,4,0,5,3.6,9,5.4,0.5217391304347826,0.39325843,,,,27,,13.568507128214627,,-0.45927025377750397,"Bob Spicer",1012337,122592
"Luis Peralta","COL",1,3,0,37,0,31.1,8.617023986732642,6.606385056495025,1.7234047973465283,0.3103448275862069,0.71705426,0.315217391,0.15,94.79707250702248,6.031916790712849,6.3477605578542535,6.307049099149412,5.774478772786335,-0.45934024453163147,"Luis Peralta",24203,678821
"Reggie Ritter","CLE",1,1,0,19,0,36.2,4.172728864497012,4.90909278176119,1.472727834528357,0.30597014925373134,0.62080537,,,,6.136365977201487,,5.761896633672357,,-0.45982126519083977,"Reggie Ritter",1010994,121239
"Dave Rowe","- - -",1,2,0,4,3,23,1.173913043478261,4.304347826086956,1.565217391304348,0.44698730556052213,0.23569024,,,,9.782608695652174,,6.485406371821528,,-0.4601731523871422,"Dave Rowe",1011252,121502
"Barney McLaughlin","KCC",1,3,0,7,4,48.2,2.589039404725764,2.7739707907776046,0.36986277210368057,0.32743926351550384,0.44474394,,,,5.363010195503368,,4.153035763805163,,-0.46061232686042786,"Barney McLaughlin",1008607,118791
"Mike Welch","PHI",0,2,0,10,2,20.2,6.532260074080213,3.0483880345707663,3.0483880345707663,0.30158730158730157,0.63492063,,,,8.274196093834936,,7.397218066820276,,-0.46112458780407906,"Mike Welch",1013759,150115
