Name,Team,IP,K/9+,BB/9+,K/BB+,HR/9+,K%+,BB%+,AVG+,WHIP+,BABIP+,LOB%+,ERA-,FIP-,xFIP-,LD%+,GB%+,FB%+,NameASCII,PlayerId,MLBAMID
"Joe Keener","MON",4.1,41.95600561794788,514.5924496459254,8.153249135592741,0,28.5175921093836,349.76965938747975,156.13038380340984,262.2682779339793,148.89505837978757,78.5194076106179,284.9044344485539,237.26505584339762,,,,,"Joe Keener",1006755,116900
"Vic Keen","- - -",748.1,87.64616427279657,108.47126253058819,80.45800633436697,173.48873046197045,87.79524111819539,108.7812643279473,101.42247388994474,102.1613772811601,98.50378901877964,104.08482580681475,103.77226464562881,112.35497564342616,,,,,"Vic Keen",1006756,116894
"Rickey Keeton","MIL",63.2,52.208193616270094,88.64737831547784,58.899753837977784,148.90000159211948,49.613948823819484,84.21429463461413,120.74029423341295,118.83991905313533,111.23309467127831,103.23606891119618,130.65398592830027,126.74821363038467,,,,,"Rickey Keeton",1006759,116904
"Frank Keffer","SYR",16,55.23860363840697,140.4448097863418,39.33118017579966,0,,,95.39977245277893,107.20179961924055,91.38142364671538,81.27017619459428,153.21958931347848,118.66495609590912,,,,,"Frank Keffer",1006760,116905
"Chet Kehn","BRO",7.2,102.77096609396716,141.30587299708228,72.72944180991281,534.2307301064955,98.42809712947393,135.33460634966292,109.2676020024266,119.30932062274277,92.1787174725764,91.93928902375738,208.64921284267277,191.35343268435966,,,,,"Chet Kehn",1006761,116906
"Katsy Keifer","IND",9,48.14163127468744,67.96699901751538,70.83089134486107,0,,,74.49433610285895,68.33954229613607,71.27951696206733,111.72489149077991,58.90964597655924,86.3959681501568,,,,,"Katsy Keifer",1006762,116907
"Mike Kekich","- - -",860.2,95.15413903495693,142.32617778205324,66.78824445382362,111.01514876836352,90.96425383463124,136.11679328735292,107.64086518205596,118.14694274330235,106.50023422600312,94.58386635704683,136.5889771105328,121.86188742379004,,,,,"Mike Kekich",1006764,116909
"George Kelb","CLE",16.1,184.00156363695922,19.18339288894849,959.1712025946514,0,,,121.68175256254968,106.33483131777051,129.81404396417878,64.06444857334631,122.36912408291465,75.09635876100855,,,,,"George Kelb",1006765,116910
"Al Kellett","- - -",10,30.580392346204636,214.86827848885906,11.385726227877454,0,26.181179526392413,230.03020093537776,98.79880271827984,131.1609758955726,95.44741742361131,71.68107545787446,140.40059918031943,133.20928579104523,,,,,"Al Kellett",1006767,116923
"Dick Kelley","- - -",519.2,109.64552607893954,126.80958656623649,86.7894644548029,93.16599481940897,109.33363205499347,126.36096100818092,94.36916144264259,101.33677944536304,96.47228997507702,99.83958038138661,100.43560859088616,103.69003571695154,,,,,"Dick Kelley",1006769,116928
"Harry Kelley","- - -",676.1,88.82074453080405,82.23928114515286,108.20967834391597,103.03947777010424,88.7365189301042,82.085263958944,104.5971863890919,99.8767438284305,103.28139410310106,96.53526812083048,103.65059576419951,98.64541570540037,,,,,"Harry Kelley",1006773,116925
"Hal Kelleher","PHI",134.2,93.1966473674405,185.48495625453901,49.89345783959226,66.33748098332588,83.16936492142966,165.54951716563454,114.89682544668769,135.19902236133504,115.65801015305539,89.00456462692027,137.3324706466736,108.1451762665955,,,,,"Hal Kelleher",1006774,116916
"Ron Keller","MIN",21.1,84.99128555126593,69.69384005368632,121.76084494193627,173.3537334921028,83.2559957022414,68.34503892726563,130.34624602589037,117.36182278323226,123.84472702970852,104.63832269830935,103.99782968428691,118.57562499506594,,,,,"Ron Keller",1006781,116921
"Tom Kelley","- - -",408,90.63682133116725,144.7487079138314,62.6129636869286,107.74516404027794,87.85732443117091,140.42132431860213,105.74181911049159,116.26823208242405,103.7775937485688,100.94341542668278,103.4730579000507,113.05365808763163,,,,,"Tom Kelley",1006782,116929
"Alex Kellner","- - -",1849.1,96.39367892565329,91.1958417840022,104.59152845064837,119.81831792976377,96.47855842780345,91.37654134874165,104.00715495908688,100.87600593547035,102.38230074330662,97.53505670918734,107.14613419996662,101.45895192326861,,,,,"Alex Kellner",1006785,116931
"Walt Kellner","PHA",7,190.66216233561107,244.8940850857725,77.6664965522338,0,174.21291009645225,223.60128313101865,79.88449234417635,123.65366394765338,98.0290139147279,86.37967273872226,164.50744714309198,105.67322753469989,,,,,"Walt Kellner",1006786,116932
"Al Kellogg","PHA",17,106.40257536960816,203.70565678521743,52.233491983783175,565.26369276066,,,124.60040777218069,150.665322148859,121.16258009149121,56.72624440368993,238.76267290164884,157.36354568004353,,,,,"Al Kellogg",1006787,116933
"Win Kellum","- - -",346.2,73.11054575792684,62.92651350957408,116.3035216853616,71.7365096432243,,,100.39493205251533,91.91980544692731,97.83381756908604,92.63203951281321,101.98147917079223,89.5161497110046,,,,,"Win Kellum",1006791,116936
"Bob Kelly","- - -",362,86.76543907721836,109.62934609239345,79.22127791991488,81.89536382195818,85.48167611053819,108.01124494802117,103.496858013878,105.79914771791219,103.16376044798459,93.02842877139953,111.93813263674552,98.85324311919076,,,,,"Bob Kelly",1006795,116958
"Bryan Kelly","DET",30.2,139.80468441429443,144.93609466732528,92.90105358518943,165.07722940577995,133.87196093976908,138.83811442807982,105.52258641711273,117.19741134516488,109.23366605066525,110.39650446297944,112.3979230280149,119.75091554011779,,,,,"Bryan Kelly",1006796,116938
"Ed Kelly","BOS",2.1,375.84449339275466,122.85015714130449,305.93732696423433,0,,,54.74370877557489,68.89007114961676,102.77995897452803,72.67016020668432,0,7.394428401824428,,,,,"Ed Kelly",1006798,116941
"George Kelly","NYG",5,100.32183391795459,73.75640774141917,136.01779842579077,0,102.64961480504465,75.46778108822537,87.40557927683481,84.32692429482852,88.708910694563,144.9034534979219,0,84.33452964115962,,,,,"George Kelly",1006799,116942
"Herb Kelly","PIT",36.2,77.50604787411453,96.59179897555768,79.39484368512318,114.0516428396947,,,101.07799732304066,100.05755992481313,97.90105532247362,85.46345087918779,109.28392727151089,110.07979137616394,,,,,"Herb Kelly",1006800,116944
